group,geneid
bldg_time,102085159
bldg_time,102092819
female_sex,101911765
female_sex,102083460
female_sex,102083485
female_sex,102083489
female_sex,102083691
female_sex,102083723
female_sex,102083922
female_sex,102084092
female_sex,102084114
female_sex,102084182
female_sex,102084309
female_sex,102084404
female_sex,102084418
female_sex,102084451
female_sex,102084532
female_sex,102084652
female_sex,102085016
female_sex,102085083
female_sex,102085132
female_sex,102085241
female_sex,102085381
female_sex,102085386
female_sex,102085504
female_sex,102085558
female_sex,102085616
female_sex,102085703
female_sex,102085795
female_sex,102085918
female_sex,102086185
female_sex,102086197
female_sex,102086229
female_sex,102086338
female_sex,102086359
female_sex,102086402
female_sex,102086603
female_sex,102086720
female_sex,102086773
female_sex,102086906
female_sex,102086950
female_sex,102086954
female_sex,102087047
female_sex,102087138
female_sex,102087147
female_sex,102087180
female_sex,102087221
female_sex,102087222
female_sex,102087299
female_sex,102087300
female_sex,102087340
female_sex,102087375
female_sex,102087434
female_sex,102087478
female_sex,102087530
female_sex,102087532
female_sex,102087817
female_sex,102087886
female_sex,102088087
female_sex,102088106
female_sex,102088146
female_sex,102088176
female_sex,102088770
female_sex,102088870
female_sex,102088876
female_sex,102088908
female_sex,102089081
female_sex,102089175
female_sex,102089317
female_sex,102089878
female_sex,102090107
female_sex,102090124
female_sex,102090126
female_sex,102090213
female_sex,102090263
female_sex,102090285
female_sex,102090599
female_sex,102090613
female_sex,102090665
female_sex,102090707
female_sex,102090908
female_sex,102090953
female_sex,102091064
female_sex,102091137
female_sex,102091180
female_sex,102091334
female_sex,102091412
female_sex,102091602
female_sex,102091612
female_sex,102091633
female_sex,102091656
female_sex,102091738
female_sex,102091791
female_sex,102092200
female_sex,102092233
female_sex,102092274
female_sex,102092282
female_sex,102092379
female_sex,102092471
female_sex,102092478
female_sex,102092487
female_sex,102092600
female_sex,102093085
female_sex,102093367
female_sex,102093521
female_sex,102093688
female_sex,102093724
female_sex,102093742
female_sex,102093911
female_sex,102094005
female_sex,102094063
female_sex,102094222
female_sex,102094251
female_sex,102094254
female_sex,102094525
female_sex,102094852
female_sex,102094903
female_sex,102094993
female_sex,102095056
female_sex,102095077
female_sex,102095198
female_sex,102095369
female_sex,102095372
female_sex,102095570
female_sex,102095584
female_sex,102095817
female_sex,102096080
female_sex,102096123
female_sex,102096262
female_sex,102096306
female_sex,102096311
female_sex,102096325
female_sex,102096475
female_sex,102096497
female_sex,102096679
female_sex,102096820
female_sex,102096906
female_sex,102096968
female_sex,102097094
female_sex,102097146
female_sex,102097267
female_sex,102097390
female_sex,102097440
female_sex,102097598
female_sex,102097608
female_sex,102097684
female_sex,102097711
female_sex,102097842
female_sex,102097964
female_sex,102098279
female_sex,102098332
female_sex,102098375
female_sex,102098384
female_sex,102098400
female_sex,102098644
female_sex,102098652
female_sex,102098658
female_sex,102098796
female_sex,102098806
female_sex,102098846
female_sex,102098967
female_sex,103622238
female_sex,103758267
female_sex,103895545
female_sex,103897036
female_sex,103897809
female_sex,103903891
female_sex,104037702
female_sex,104037842
female_sex,104075811
female_sex,104460680
female_sex,105400010
female_sex,105400779
female_sex,105404829
female_sex,105409501
female_sex,106045078
female_sex,106145860
female_sex,106145954
female_sex,106146041
female_sex,110358223
female_sex,110360930
female_sex,110363766
female_sex,110365155
gon_tissue,101911765
gon_tissue,102083407
gon_tissue,102083460
gon_tissue,102083538
gon_tissue,102083635
gon_tissue,102083691
gon_tissue,102083720
gon_tissue,102083723
gon_tissue,102083727
gon_tissue,102083750
gon_tissue,102083815
gon_tissue,102083922
gon_tissue,102084015
gon_tissue,102084017
gon_tissue,102084041
gon_tissue,102084114
gon_tissue,102084174
gon_tissue,102084326
gon_tissue,102084352
gon_tissue,102084375
gon_tissue,102084418
gon_tissue,102084474
gon_tissue,102084508
gon_tissue,102084532
gon_tissue,102084550
gon_tissue,102084553
gon_tissue,102084566
gon_tissue,102084605
gon_tissue,102084630
gon_tissue,102084652
gon_tissue,102084711
gon_tissue,102084713
gon_tissue,102084819
gon_tissue,102084861
gon_tissue,102084870
gon_tissue,102084908
gon_tissue,102084984
gon_tissue,102085083
gon_tissue,102085132
gon_tissue,102085223
gon_tissue,102085332
gon_tissue,102085381
gon_tissue,102085386
gon_tissue,102085434
gon_tissue,102085539
gon_tissue,102085568
gon_tissue,102085623
gon_tissue,102085703
gon_tissue,102085725
gon_tissue,102085770
gon_tissue,102085913
gon_tissue,102086131
gon_tissue,102086156
gon_tissue,102086226
gon_tissue,102086232
gon_tissue,102086264
gon_tissue,102086265
gon_tissue,102086270
gon_tissue,102086324
gon_tissue,102086333
gon_tissue,102086342
gon_tissue,102086429
gon_tissue,102086526
gon_tissue,102086638
gon_tissue,102086738
gon_tissue,102086766
gon_tissue,102086855
gon_tissue,102086865
gon_tissue,102086950
gon_tissue,102086954
gon_tissue,102086974
gon_tissue,102086993
gon_tissue,102087071
gon_tissue,102087101
gon_tissue,102087138
gon_tissue,102087221
gon_tissue,102087227
gon_tissue,102087299
gon_tissue,102087300
gon_tissue,102087375
gon_tissue,102087460
gon_tissue,102087471
gon_tissue,102087475
gon_tissue,102087546
gon_tissue,102087557
gon_tissue,102087675
gon_tissue,102087737
gon_tissue,102087747
gon_tissue,102087819
gon_tissue,102087886
gon_tissue,102087889
gon_tissue,102088020
gon_tissue,102088087
gon_tissue,102088106
gon_tissue,102088146
gon_tissue,102088265
gon_tissue,102088306
gon_tissue,102088334
gon_tissue,102088493
gon_tissue,102088544
gon_tissue,102088608
gon_tissue,102088706
gon_tissue,102088836
gon_tissue,102088852
gon_tissue,102088870
gon_tissue,102088888
gon_tissue,102088908
gon_tissue,102088943
gon_tissue,102088982
gon_tissue,102089004
gon_tissue,102089081
gon_tissue,102089230
gon_tissue,102089285
gon_tissue,102089370
gon_tissue,102089474
gon_tissue,102089513
gon_tissue,102089576
gon_tissue,102089581
gon_tissue,102089701
gon_tissue,102089741
gon_tissue,102089746
gon_tissue,102089792
gon_tissue,102089796
gon_tissue,102089891
gon_tissue,102089916
