From	To	Species	Gene Name
102092601	SMNDC1	Columba livia	survival motor neuron domain containing 1(SMNDC1)
102092600	HOXB5	Columba livia	homeobox B5(HOXB5)
105404173	PRKCI	Aquila chrysaetos canadensis	protein kinase C iota(PRKCI)
102090882	LSP1	Columba livia	lymphocyte-specific protein 1(LSP1)
102090883	TMEM64	Columba livia	transmembrane protein 64(TMEM64)
102090880	USP24	Columba livia	ubiquitin specific peptidase 24(USP24)
102092608	TIMMDC1	Columba livia	translocase of inner mitochondrial membrane domain containing 1(TIMMDC1)
102084834	RFC1	Columba livia	replication factor C subunit 1(RFC1)
102086714	HNRNPAB	Columba livia	heterogeneous nuclear ribonucleoprotein A/B(HNRNPAB)
102085306	RNF141	Columba livia	ring finger protein 141(RNF141)
102092040	LOC102092040	Columba livia	neuron-specific protein family member 1(LOC102092040)
102091769	TMEM135	Columba livia	transmembrane protein 135(TMEM135)
102086704	PARVA	Columba livia	parvin alpha(PARVA)
102095237	LSM14A	Columba livia	LSM14A, mRNA processing body assembly factor(LSM14A)
102084843	CRIM1	Columba livia	cysteine rich transmembrane BMP regulator 1(CRIM1)
102091968	RAN	Columba livia	RAN, member RAS oncogene family(RAN)
102086516	SUDS3	Columba livia	SDS3 homolog, SIN3A corepressor complex component(SUDS3)
104828412	MRPL3	Haliaeetus leucocephalus	mitochondrial ribosomal protein L3(MRPL3)
102086514	PBX1	Columba livia	PBX homeobox 1(PBX1)
102098873	LEPROT	Columba livia	leptin receptor overlapping transcript(LEPROT)
103894617	HMGN3	Aptenodytes forsteri	high mobility group nucleosomal binding domain 3(HMGN3)
102083588	PKD2	Columba livia	polycystin 2, transient receptor potential cation channel(PKD2)
102086326	CIR1	Columba livia	corepressor interacting with RBPJ, 1(CIR1)
102092610	LOC102092610	Columba livia	nuclear cap-binding protein subunit 2(LOC102092610)
105406607	RERE	Aquila chrysaetos canadensis	arginine-glutamic acid dipeptide repeats(RERE)
102098384	BICC1	Columba livia	BicC family RNA binding protein 1(BICC1)
102098381	URI1	Columba livia	URI1, prefoldin like chaperone(URI1)
103924134	RBFOX2	Pygoscelis adeliae	RNA binding protein, fox-1 homolog 2(RBFOX2)
102089754	SLC6A6	Columba livia	solute carrier family 6 member 6(SLC6A6)
102098386	JAK1	Columba livia	Janus kinase 1(JAK1)
