From	To	Species	Gene Name
105404173	PRKCI	Aquila chrysaetos canadensis	protein kinase C iota(PRKCI)
102098375	GABPB1	Columba livia	GA binding protein transcription factor beta subunit 1(GABPB1)
102090882	LSP1	Columba livia	lymphocyte-specific protein 1(LSP1)
102090883	TMEM64	Columba livia	transmembrane protein 64(TMEM64)
102090880	USP24	Columba livia	ubiquitin specific peptidase 24(USP24)
102086714	HNRNPAB	Columba livia	heterogeneous nuclear ribonucleoprotein A/B(HNRNPAB)
102085304	PPP4R1	Columba livia	protein phosphatase 4 regulatory subunit 1(PPP4R1)
102085306	RNF141	Columba livia	ring finger protein 141(RNF141)
102086711	TPST1	Columba livia	tyrosylprotein sulfotransferase 1(TPST1)
102092040	LOC102092040	Columba livia	neuron-specific protein family member 1(LOC102092040)
102086704	PARVA	Columba livia	parvin alpha(PARVA)
102095237	LSM14A	Columba livia	LSM14A, mRNA processing body assembly factor(LSM14A)
102098873	LEPROT	Columba livia	leptin receptor overlapping transcript(LEPROT)
102086324	MASTL	Columba livia	microtubule associated serine/threonine kinase like(MASTL)
102095231	TGIF2	Columba livia	TGFB induced factor homeobox 2(TGIF2)
102083588	PKD2	Columba livia	polycystin 2, transient receptor potential cation channel(PKD2)
102098877	LOC102098877	Columba livia	myosin regulatory light chain 2, smooth muscle minor isoform(LOC102098877)
105404184	FNDC3B	Aquila chrysaetos canadensis	fibronectin type III domain containing 3B(FNDC3B)
102098381	URI1	Columba livia	URI1, prefoldin like chaperone(URI1)
103924134	RBFOX2	Pygoscelis adeliae	RNA binding protein, fox-1 homolog 2(RBFOX2)
102098386	JAK1	Columba livia	Janus kinase 1(JAK1)
102086720	RNF216	Columba livia	ring finger protein 216(RNF216)
102085310	TBK1	Columba livia	TANK binding kinase 1(TBK1)
102086723	HEBP1	Columba livia	heme binding protein 1(HEBP1)
102086725	U2SURP	Columba livia	U2 snRNP associated SURP domain containing(U2SURP)
102085315	ZC3H13	Columba livia	zinc finger CCCH-type containing 13(ZC3H13)
102086715	CLTB	Columba livia	clathrin light chain B(CLTB)
102085309	VAPB	Columba livia	VAMP associated protein B and C(VAPB)
102097365	PUSL1	Columba livia	pseudouridylate synthase-like 1(PUSL1)
102083591	TGFBR2	Columba livia	transforming growth factor beta receptor 2(TGFBR2)
102098882	SEC23A	Columba livia	Sec23 homolog A, coat complex II component(SEC23A)
102097361	ROCK1	Columba livia	Rho associated coiled-coil containing protein kinase 1(ROCK1)
102095223	SLC25A17	Columba livia	solute carrier family 25 member 17(SLC25A17)
102086311	THUMPD3	Columba livia	THUMP domain containing 3(THUMPD3)
102092811	SCD5	Columba livia	stearoyl-CoA desaturase 5(SCD5)
102098887	KIF20A	Columba livia	kinesin family member 20A(KIF20A)
102098884	RPN2	Columba livia	ribophorin II(RPN2)
102083596	GPC4	Columba livia	glypican 4(GPC4)
104023050	RDX	Nipponia nippon	radixin(RDX)
102086318	LOC102086318	Columba livia	transmembrane protein 45B(LOC102086318)
105404199	GNB4	Aquila chrysaetos canadensis	G protein subunit beta 4(GNB4)
102091385	NT5DC1	Columba livia	5'-nucleotidase domain containing 1(NT5DC1)
102090613	AGPAT2	Columba livia	1-acylglycerol-3-phosphate O-acyltransferase 2(AGPAT2)
104037702	ZFAND5	Pelecanus crispus	zinc finger AN1-type containing 5(ZFAND5)
102098892	AKAP9	Columba livia	A-kinase anchoring protein 9(AKAP9)
102095212	LOC102095212	Columba livia	gamma-aminobutyric acid receptor subunit pi(LOC102095212)
102091793	PRPF8	Columba livia	pre-mRNA processing factor 8(PRPF8)
102091791	ZAR1L	Columba livia	zygote arrest 1-like(ZAR1L)
102086306	AGPAT4	Columba livia	1-acylglycerol-3-phosphate O-acyltransferase 4(AGPAT4)
102097358	FKBP15	Columba livia	FK506 binding protein 15(FKBP15)
102092826	GTF2A1	Columba livia	general transcription factor IIA subunit 1(GTF2A1)
102086304	TPD52L1	Columba livia	tumor protein D52-like 1(TPD52L1)
102097357	SLC25A3	Columba livia	solute carrier family 25 member 3(SLC25A3)
102086302	MED21	Columba livia	mediator complex subunit 21(MED21)
102098896	DECR2	Columba livia	2,4-dienoyl-CoA reductase 2, peroxisomal(DECR2)
102086303	PARP1	Columba livia	poly(ADP-ribose) polymerase 1(PARP1)
102092823	HMGB1	Columba livia	high mobility group box 1(HMGB1)
102089094	DDX55	Columba livia	DEAD-box helicase 55(DDX55)
102090895	ACACA	Columba livia	acetyl-CoA carboxylase alpha(ACACA)
102098365	TBC1D22B	Columba livia	TBC1 domain family member 22B(TBC1D22B)
102092012	AIM1	Columba livia	absent in melanoma 1(AIM1)
102085705	CHMP1B	Columba livia	charged multivesicular body protein 1B(CHMP1B)
102091394	DUSP16	Columba livia	dual specificity phosphatase 16(DUSP16)
102085703	FADD	Columba livia	Fas associated via death domain(FADD)
102095200	PPP2R3B	Columba livia	protein phosphatase 2 regulatory subunit B''beta(PPP2R3B)
104531501	ZFAND6	Caprimulgus carolinensis	zinc finger AN1-type containing 6(ZFAND6)
102097343	FGFR1OP2	Columba livia	FGFR1 oncogene partner 2(FGFR1OP2)
102097342	DUSP12	Columba livia	dual specificity phosphatase 12(DUSP12)
102095203	SEC14L1	Columba livia	SEC14 like lipid binding 1(SEC14L1)
102089080	HACD2	Columba livia	3-hydroxyacyl-CoA dehydratase 2(HACD2)
102089081	SHROOM1	Columba livia	shroom family member 1(SHROOM1)
102092833	MAP1LC3B	Columba livia	microtubule associated protein 1 light chain 3 beta(MAP1LC3B)
102090884	RPRD1B	Columba livia	regulation of nuclear pre-mRNA domain containing 1B(RPRD1B)
102089084	LPGAT1	Columba livia	lysophosphatidylglycerol acyltransferase 1(LPGAT1)
102087884	ACBD3	Columba livia	acyl-CoA binding domain containing 3(ACBD3)
102091721	PIWIL1	Columba livia	piwi like RNA-mediated gene silencing 1(PIWIL1)
102087886	LOC102087886	Columba livia	BPI fold-containing family C protein(LOC102087886)
102084602	KPNA6	Columba livia	karyopherin subunit alpha 6(KPNA6)
102091727	UTP20	Columba livia	UTP20, small subunit processome component(UTP20)
102087889	LOC102087889	Columba livia	gametocyte-specific factor 1(LOC102087889)
102083538	IFT88	Columba livia	intraflagellar transport 88(IFT88)
102092850	TFB2M	Columba livia	transcription factor B2, mitochondrial(TFB2M)
102090198	CTSD	Columba livia	cathepsin D(CTSD)
102087883	NMD3	Columba livia	NMD3 ribosome export adaptor(NMD3)
102090199	ACSL1	Columba livia	acyl-CoA synthetase long-chain family member 1(ACSL1)
105399069	grpel2	Aquila chrysaetos canadensis	GrpE like 2, mitochondrial(GRPEL2)
102086369	DNAJB12	Columba livia	DnaJ heat shock protein family (Hsp40) member B12(DNAJB12)
106901014	TWF1	Calidris pugnax	twinfilin actin binding protein 1(TWF1)
102089507	PCGF6	Columba livia	polycomb group ring finger 6(PCGF6)
105399060	CCNY	Aquila chrysaetos canadensis	cyclin Y(CCNY)
102091318	SYNE2	Columba livia	spectrin repeat containing nuclear envelope protein 2(SYNE2)
102086364	OXSR1	Columba livia	oxidative stress responsive 1(OXSR1)
102091730	YARS2	Columba livia	tyrosyl-tRNA synthetase 2(YARS2)
102091710	ZFC3H1	Columba livia	zinc finger C3H1-type containing(ZFC3H1)
102086763	FAM210B	Columba livia	family with sequence similarity 210 member B(FAM210B)
102087897	BMPR1A	Columba livia	bone morphogenetic protein receptor type 1A(BMPR1A)
102086766	DRAM1	Columba livia	DNA damage regulated autophagy modulator 1(DRAM1)
102094147	KCTD10	Columba livia	potassium channel tetramerization domain containing 10(KCTD10)
102092076	DAGLB	Columba livia	diacylglycerol lipase beta(DAGLB)
102092863	YPEL2	Columba livia	yippee like 2(YPEL2)
102087892	ar	Columba livia	androgen receptor(AR)
102092079	RRH	Columba livia	retinal pigment epithelium-derived rhodopsin homolog(RRH)
102094144	TIAL1	Columba livia	TIA1 cytotoxic granule associated RNA binding protein like 1(TIAL1)
102092861	CDH2	Columba livia	cadherin 2(CDH2)
102086356	HSPA8	Columba livia	heat shock protein family A (Hsp70) member 8(HSPA8)
102092854	SUN2	Columba livia	Sad1 and UNC84 domain containing 2(SUN2)
102086359	TTC3	Columba livia	tetratricopeptide repeat domain 3(TTC3)
104840331	PRDX6	Haliaeetus leucocephalus	peroxiredoxin 6(PRDX6)
102086351	PWP1	Columba livia	PWP1 homolog, endonuclein(PWP1)
102086735	LOC102086735	Columba livia	chromosome unknown open reading frame, human C6orf132(LOC102086735)
105401598	ARL3	Aquila chrysaetos canadensis	ADP ribosylation factor like GTPase 3(ARL3)
102087869	MSANTD4	Columba livia	Myb/SANT DNA binding domain containing 4 with coiled-coils(MSANTD4)
102086732	FAM160B1	Columba livia	family with sequence similarity 160 member B1(FAM160B1)
102087865	SETD7	Columba livia	SET domain containing lysine methyltransferase 7(SETD7)
102086730	TMEM263	Columba livia	transmembrane protein 263(TMEM263)
102092066	RCC1L	Columba livia	RCC1 like(RCC1L)
102092067	BDH1	Columba livia	3-hydroxybutyrate dehydrogenase, type 1(BDH1)
102094107	LOC102094107	Columba livia	transmembrane protein 178B(LOC102094107)
102086349	FRA10AC1	Columba livia	fragile site, folic acid type, rare, fra(10)(q23.3) or fra(10)(q24.2) candidate 1(FRA10AC1)
102086726	LOC102086726	Columba livia	serine/threonine-protein kinase Sgk3(LOC102086726)
102091738	THBS1	Columba livia	thrombospondin 1(THBS1)
102087878	IL21R	Columba livia	interleukin 21 receptor(IL21R)
102092050	LOC102092050	Columba livia	ubiquitin-conjugating enzyme E2 R2(LOC102092050)
102086740	BLOC1S5	Columba livia	biogenesis of lysosomal organelles complex 1 subunit 5(BLOC1S5)
102086742	TM6SF1	Columba livia	transmembrane 6 superfamily member 1(TM6SF1)
103895007	POGLUT1	Aptenodytes forsteri	protein O-glucosyltransferase 1(POGLUT1)
102083569	RECK	Columba livia	reversion inducing cysteine rich protein with kazal motifs(RECK)
102087871	ARL13B	Columba livia	ADP ribosylation factor like GTPase 13B(ARL13B)
102092053	TPI1	Columba livia	triosephosphate isomerase 1(TPI1)
102097302	MTMR10	Columba livia	myotubularin related protein 10(MTMR10)
102086338	CABIN1	Columba livia	calcineurin binding protein 1(CABIN1)
