From	To	Species	Gene Name
105404173	PRKCI	Aquila chrysaetos canadensis	protein kinase C iota(PRKCI)
102090882	LSP1	Columba livia	lymphocyte-specific protein 1(LSP1)
102098375	GABPB1	Columba livia	GA binding protein transcription factor beta subunit 1(GABPB1)
102090880	USP24	Columba livia	ubiquitin specific peptidase 24(USP24)
102091766	HMCES	Columba livia	5-hydroxymethylcytosine (hmC) binding, ES cell-specific(HMCES)
102086714	HNRNPAB	Columba livia	heterogeneous nuclear ribonucleoprotein A/B(HNRNPAB)
102086713	COIL	Columba livia	coilin(COIL)
102092041	PPP2R3A	Columba livia	protein phosphatase 2 regulatory subunit B''alpha(PPP2R3A)
102085306	RNF141	Columba livia	ring finger protein 141(RNF141)
102086711	TPST1	Columba livia	tyrosylprotein sulfotransferase 1(TPST1)
102092040	LOC102092040	Columba livia	neuron-specific protein family member 1(LOC102092040)
102091769	TMEM135	Columba livia	transmembrane protein 135(TMEM135)
102092807	LOC102092807	Columba livia	actin, cytoplasmic type 5(LOC102092807)
102086704	PARVA	Columba livia	parvin alpha(PARVA)
102095237	LSM14A	Columba livia	LSM14A, mRNA processing body assembly factor(LSM14A)
102095234	LOC102095234	Columba livia	putative N-acetylated-alpha-linked acidic dipeptidase(LOC102095234)
104828412	MRPL3	Haliaeetus leucocephalus	mitochondrial ribosomal protein L3(MRPL3)
102084196	MDM1	Columba livia	Mdm1 nuclear protein(MDM1)
102098871	ZCCHC8	Columba livia	zinc finger CCHC-type containing 8(ZCCHC8)
102095231	TGIF2	Columba livia	TGFB induced factor homeobox 2(TGIF2)
102086324	MASTL	Columba livia	microtubule associated serine/threonine kinase like(MASTL)
102098873	LEPROT	Columba livia	leptin receptor overlapping transcript(LEPROT)
102098876	ZNF217	Columba livia	zinc finger protein 217(ZNF217)
102098877	LOC102098877	Columba livia	myosin regulatory light chain 2, smooth muscle minor isoform(LOC102098877)
102083586	BCL7A	Columba livia	BCL tumor suppressor 7A(BCL7A)
102090879	CCDC173	Columba livia	coiled-coil domain containing 173(CCDC173)
102086329	ZFAND4	Columba livia	zinc finger AN1-type containing 4(ZFAND4)
105404184	FNDC3B	Aquila chrysaetos canadensis	fibronectin type III domain containing 3B(FNDC3B)
102098384	BICC1	Columba livia	BicC family RNA binding protein 1(BICC1)
102098381	URI1	Columba livia	URI1, prefoldin like chaperone(URI1)
103924134	RBFOX2	Pygoscelis adeliae	RNA binding protein, fox-1 homolog 2(RBFOX2)
102098387	COPB1	Columba livia	coatomer protein complex subunit beta 1(COPB1)
102091377	RNF166	Columba livia	ring finger protein 166(RNF166)
102098386	JAK1	Columba livia	Janus kinase 1(JAK1)
102091378	MEX3D	Columba livia	mex-3 RNA binding family member D(MEX3D)
102091754	RPP40	Columba livia	ribonuclease P/MRP subunit p40(RPP40)
102086720	RNF216	Columba livia	ring finger protein 216(RNF216)
102085310	TBK1	Columba livia	TANK binding kinase 1(TBK1)
102098389	TBC1D20	Columba livia	TBC1 domain family member 20(TBC1D20)
102086723	HEBP1	Columba livia	heme binding protein 1(HEBP1)
102086725	U2SURP	Columba livia	U2 snRNP associated SURP domain containing(U2SURP)
102085315	ZC3H13	Columba livia	zinc finger CCCH-type containing 13(ZC3H13)
102086724	SIN3B	Columba livia	SIN3 transcription regulator family member B(SIN3B)
102085314	RRP1B	Columba livia	ribosomal RNA processing 1B(RRP1B)
102086715	CLTB	Columba livia	clathrin light chain B(CLTB)
102097365	PUSL1	Columba livia	pseudouridylate synthase-like 1(PUSL1)
102085309	VAPB	Columba livia	VAMP associated protein B and C(VAPB)
102083591	TGFBR2	Columba livia	transforming growth factor beta receptor 2(TGFBR2)
102083593	SALL4	Columba livia	spalt like transcription factor 4(SALL4)
102097361	ROCK1	Columba livia	Rho associated coiled-coil containing protein kinase 1(ROCK1)
102098882	SEC23A	Columba livia	Sec23 homolog A, coat complex II component(SEC23A)
102095221	ZCCHC17	Columba livia	zinc finger CCHC-type containing 17(ZCCHC17)
102095223	SLC25A17	Columba livia	solute carrier family 25 member 17(SLC25A17)
102098881	DZIP1L	Columba livia	DAZ interacting zinc finger protein 1 like(DZIP1L)
102092811	SCD5	Columba livia	stearoyl-CoA desaturase 5(SCD5)
102086311	THUMPD3	Columba livia	THUMP domain containing 3(THUMPD3)
102091368	MANBAL	Columba livia	mannosidase beta like(MANBAL)
102098887	KIF20A	Columba livia	kinesin family member 20A(KIF20A)
102095220	ALDH8A1	Columba livia	aldehyde dehydrogenase 8 family member A1(ALDH8A1)
102083594	USP54	Columba livia	ubiquitin specific peptidase 54(USP54)
102090869	ZBTB10	Columba livia	zinc finger and BTB domain containing 10(ZBTB10)
102083597	RSF1	Columba livia	remodeling and spacing factor 1(RSF1)
104023050	RDX	Nipponia nippon	radixin(RDX)
102098353	GREB1	Columba livia	growth regulation by estrogen in breast cancer 1(GREB1)
105404199	GNB4	Aquila chrysaetos canadensis	G protein subunit beta 4(GNB4)
102098354	SUCNR1	Columba livia	succinate receptor 1(SUCNR1)
102091385	NT5DC1	Columba livia	5'-nucleotidase domain containing 1(NT5DC1)
102090615	ACSL3	Columba livia	acyl-CoA synthetase long-chain family member 3(ACSL3)
