From	To	Species	Gene Name
102085405	IFNGR1	Columba livia	interferon gamma receptor 1(IFNGR1)
102095946	CAMK2A	Columba livia	calcium/calmodulin dependent protein kinase II alpha(CAMK2A)
102096356	UNC80	Columba livia	unc-80 homolog, NALCN activator(UNC80)
102088109	FAR1	Columba livia	fatty acyl-CoA reductase 1(FAR1)
102092608	TIMMDC1	Columba livia	translocase of inner mitochondrial membrane domain containing 1(TIMMDC1)
102091764	CCT7	Columba livia	chaperonin containing TCP1 subunit 7(CCT7)
102092244	APOD	Columba livia	apolipoprotein D(APOD)
102084588	DTNA	Columba livia	dystrobrevin alpha(DTNA)
102086714	HNRNPAB	Columba livia	heterogeneous nuclear ribonucleoprotein A/B(HNRNPAB)
102092436	LOC102092436	Columba livia	GDNF-inducible zinc finger protein 1(LOC102092436)
102092040	LOC102092040	Columba livia	neuron-specific protein family member 1(LOC102092040)
104319424	LOC104319424	Haliaeetus albicilla	kelch-like protein 13(LOC104319424)
102084154	GABRG2	Columba livia	gamma-aminobutyric acid type A receptor gamma2 subunit(GABRG2)
102092807	LOC102092807	Columba livia	actin, cytoplasmic type 5(LOC102092807)
102085822	CR1	Columba livia	complement C3b/C4b receptor 1 (Knops blood group)(CR1)
102085019	RGS8	Columba livia	regulator of G-protein signaling 8(RGS8)
101917414	FUBP1	Falco peregrinus	far upstream element binding protein 1(FUBP1)
102096761	LOC102096761	Columba livia	protein S100-A9-like(LOC102096761)
102098620	IWS1	Columba livia	IWS1, SUPT6H interacting protein(IWS1)
102098873	LEPROT	Columba livia	leptin receptor overlapping transcript(LEPROT)
102096492	ARMC1	Columba livia	armadillo repeat containing 1(ARMC1)
105405497	kras	Aquila chrysaetos canadensis	KRAS proto-oncogene, GTPase(KRAS)
102087472	CHL1	Columba livia	cell adhesion molecule L1 like(CHL1)
103924134	RBFOX2	Pygoscelis adeliae	RNA binding protein, fox-1 homolog 2(RBFOX2)
102089754	SLC6A6	Columba livia	solute carrier family 6 member 6(SLC6A6)
102096220	NAPG	Columba livia	NSF attachment protein gamma(NAPG)
102095933	SCD	Columba livia	stearoyl-CoA desaturase(SCD)
102091196	MRPL38	Columba livia	mitochondrial ribosomal protein L38(MRPL38)
102083448	TMEM106B	Columba livia	transmembrane protein 106B(TMEM106B)
102086715	CLTB	Columba livia	clathrin light chain B(CLTB)
102089335	ATP6V0A1	Columba livia	ATPase H+ transporting V0 subunit a1(ATP6V0A1)
102089237	KCNMA1	Columba livia	potassium calcium-activated channel subfamily M alpha 1(KCNMA1)
102088084	GNB5	Columba livia	G protein subunit beta 5(GNB5)
102098615	FADS2	Columba livia	fatty acid desaturase 2(FADS2)
102091955	SPIN1	Columba livia	spindlin 1(SPIN1)
102084161	ADAM22	Columba livia	ADAM metallopeptidase domain 22(ADAM22)
102094895	ARPC5	Columba livia	actin related protein 2/3 complex subunit 5(ARPC5)
102092811	SCD5	Columba livia	stearoyl-CoA desaturase 5(SCD5)
102091572	BICD2	Columba livia	BICD cargo adaptor 2(BICD2)
102094241	AASS	Columba livia	aminoadipate-semialdehyde synthase(AASS)
102094893	NECTIN1	Columba livia	nectin cell adhesion molecule 1(NECTIN1)
104023050	RDX	Nipponia nippon	radixin(RDX)
106145774	LOC106145774	Columba livia	inverted formin-2-like(LOC106145774)
105404199	GNB4	Aquila chrysaetos canadensis	G protein subunit beta 4(GNB4)
102085691	TMEM47	Columba livia	transmembrane protein 47(TMEM47)
102097862	AKAP11	Columba livia	A-kinase anchoring protein 11(AKAP11)
102090100	ATP6AP2	Columba livia	ATPase H+ transporting accessory protein 2(ATP6AP2)
102089912	NELL2	Columba livia	neural EGFL like 2(NELL2)
102088221	RALGDS	Columba livia	ral guanine nucleotide dissociation stimulator(RALGDS)
102095108	RND2	Columba livia	Rho family GTPase 2(RND2)
106889666	LOC106889666	Calidris pugnax	chromosome unknown open reading frame, human C1orf35(LOC106889666)
102088965	SPON1	Columba livia	spondin 1(SPON1)
104475679	DNAJC5	Chlamydotis macqueenii	DnaJ heat shock protein family (Hsp40) member C5(DNAJC5)
102092222	SHROOM2	Columba livia	shroom family member 2(SHROOM2)
102087384	NCOA5	Columba livia	nuclear receptor coactivator 5(NCOA5)
102093605	HEBP2	Columba livia	heme binding protein 2(HEBP2)
104831727	ATP6V1A	Haliaeetus leucocephalus	ATPase H+ transporting V1 subunit A(ATP6V1A)
102087385	LOC102087385	Columba livia	mitochondrial amidoxime reducing component 2(LOC102087385)
102095725	RSRP1	Columba livia	arginine and serine rich protein 1(RSRP1)
102092826	GTF2A1	Columba livia	general transcription factor IIA subunit 1(GTF2A1)
