From	To	Species	Gene Name
102090882	LSP1	Columba livia	lymphocyte-specific protein 1(LSP1)
102090883	TMEM64	Columba livia	transmembrane protein 64(TMEM64)
102090880	USP24	Columba livia	ubiquitin specific peptidase 24(USP24)
102091764	CCT7	Columba livia	chaperonin containing TCP1 subunit 7(CCT7)
102091769	TMEM135	Columba livia	transmembrane protein 135(TMEM135)
102095237	LSM14A	Columba livia	LSM14A, mRNA processing body assembly factor(LSM14A)
102084191	GMPR	Columba livia	guanosine monophosphate reductase(GMPR)
102095234	LOC102095234	Columba livia	putative N-acetylated-alpha-linked acidic dipeptidase(LOC102095234)
102086321	ALS2	Columba livia	ALS2, alsin Rho guanine nucleotide exchange factor(ALS2)
104828412	MRPL3	Haliaeetus leucocephalus	mitochondrial ribosomal protein L3(MRPL3)
102098873	LEPROT	Columba livia	leptin receptor overlapping transcript(LEPROT)
102083589	PDE4B	Columba livia	phosphodiesterase 4B(PDE4B)
102083588	PKD2	Columba livia	polycystin 2, transient receptor potential cation channel(PKD2)
102086328	CACNA1B	Columba livia	calcium voltage-gated channel subunit alpha1 B(CACNA1B)
102083586	BCL7A	Columba livia	BCL tumor suppressor 7A(BCL7A)
102097379	SOX6	Columba livia	SRY-box 6(SOX6)
102090877	NCOR2	Columba livia	nuclear receptor corepressor 2(NCOR2)
102086308	RPS6KA2	Columba livia	ribosomal protein S6 kinase A2(RPS6KA2)
102083591	TGFBR2	Columba livia	transforming growth factor beta receptor 2(TGFBR2)
102097361	ROCK1	Columba livia	Rho associated coiled-coil containing protein kinase 1(ROCK1)
102098882	SEC23A	Columba livia	Sec23 homolog A, coat complex II component(SEC23A)
102095221	ZCCHC17	Columba livia	zinc finger CCHC-type containing 17(ZCCHC17)
102086311	THUMPD3	Columba livia	THUMP domain containing 3(THUMPD3)
102098887	KIF20A	Columba livia	kinesin family member 20A(KIF20A)
102098884	RPN2	Columba livia	ribophorin II(RPN2)
102083594	USP54	Columba livia	ubiquitin specific peptidase 54(USP54)
104023050	RDX	Nipponia nippon	radixin(RDX)
102083597	RSF1	Columba livia	remodeling and spacing factor 1(RSF1)
104037702	ZFAND5	Pelecanus crispus	zinc finger AN1-type containing 5(ZFAND5)
102098892	AKAP9	Columba livia	A-kinase anchoring protein 9(AKAP9)
102091794	NLGN4X	Columba livia	neuroligin 4, X-linked(NLGN4X)
102086306	AGPAT4	Columba livia	1-acylglycerol-3-phosphate O-acyltransferase 4(AGPAT4)
102086304	TPD52L1	Columba livia	tumor protein D52-like 1(TPD52L1)
102097357	SLC25A3	Columba livia	solute carrier family 25 member 3(SLC25A3)
102086302	MED21	Columba livia	mediator complex subunit 21(MED21)
102086303	PARP1	Columba livia	poly(ADP-ribose) polymerase 1(PARP1)
102098896	DECR2	Columba livia	2,4-dienoyl-CoA reductase 2, peroxisomal(DECR2)
102086301	EVL	Columba livia	Enah/Vasp-like(EVL)
102098898	TBL1XR1	Columba livia	transducin beta like 1 X-linked receptor 1(TBL1XR1)
102090895	ACACA	Columba livia	acetyl-CoA carboxylase alpha(ACACA)
102090894	AUTS2	Columba livia	autism susceptibility candidate 2(AUTS2)
102085705	CHMP1B	Columba livia	charged multivesicular body protein 1B(CHMP1B)
102095200	PPP2R3B	Columba livia	protein phosphatase 2 regulatory subunit B''beta(PPP2R3B)
102091785	LRRC7	Columba livia	leucine rich repeat containing 7(LRRC7)
104531501	ZFAND6	Caprimulgus carolinensis	zinc finger AN1-type containing 6(ZFAND6)
102097343	FGFR1OP2	Columba livia	FGFR1 oncogene partner 2(FGFR1OP2)
102095203	SEC14L1	Columba livia	SEC14 like lipid binding 1(SEC14L1)
102097342	DUSP12	Columba livia	dual specificity phosphatase 12(DUSP12)
102095205	FSTL4	Columba livia	follistatin like 4(FSTL4)
102090884	RPRD1B	Columba livia	regulation of nuclear pre-mRNA domain containing 1B(RPRD1B)
102090887	UVRAG	Columba livia	UV radiation resistance associated(UVRAG)
102097348	LOC102097348	Columba livia	chromosome unknown open reading frame, human C5orf49(LOC102097348)
102090198	CTSD	Columba livia	cathepsin D(CTSD)
105399069	grpel2	Aquila chrysaetos canadensis	GrpE like 2, mitochondrial(GRPEL2)
102090199	ACSL1	Columba livia	acyl-CoA synthetase long-chain family member 1(ACSL1)
102083546	MBTPS2	Columba livia	membrane bound transcription factor peptidase, site 2(MBTPS2)
102086369	DNAJB12	Columba livia	DnaJ heat shock protein family (Hsp40) member B12(DNAJB12)
106901014	TWF1	Calidris pugnax	twinfilin actin binding protein 1(TWF1)
102089507	PCGF6	Columba livia	polycomb group ring finger 6(PCGF6)
102089506	SOCS7	Columba livia	suppressor of cytokine signaling 7(SOCS7)
105399060	CCNY	Aquila chrysaetos canadensis	cyclin Y(CCNY)
102086364	OXSR1	Columba livia	oxidative stress responsive 1(OXSR1)
102091730	YARS2	Columba livia	tyrosyl-tRNA synthetase 2(YARS2)
102086362	MAGI2	Columba livia	membrane associated guanylate kinase, WW and PDZ domain containing 2(MAGI2)
102091710	ZFC3H1	Columba livia	zinc finger C3H1-type containing(ZFC3H1)
102097319	NRG1	Columba livia	neuregulin 1(NRG1)
102083555	MID1	Columba livia	midline 1(MID1)
102097329	ABHD15	Columba livia	abhydrolase domain containing 15(ABHD15)
102097326	SACS	Columba livia	sacsin molecular chaperone(SACS)
102083556	ASPG	Columba livia	asparaginase(ASPG)
102086359	TTC3	Columba livia	tetratricopeptide repeat domain 3(TTC3)
102097325	STX6	Columba livia	syntaxin 6(STX6)
102089511	PRPF19	Columba livia	pre-mRNA processing factor 19(PRPF19)
102086351	PWP1	Columba livia	PWP1 homolog, endonuclein(PWP1)
102091745	PDPR	Columba livia	pyruvate dehydrogenase phosphatase regulatory subunit(PDPR)
102091743	CCNI	Columba livia	cyclin I(CCNI)
