From	To	Species	Gene Name
102090882	LSP1	Columba livia	lymphocyte-specific protein 1(LSP1)
102090880	USP24	Columba livia	ubiquitin specific peptidase 24(USP24)
102091769	TMEM135	Columba livia	transmembrane protein 135(TMEM135)
102095237	LSM14A	Columba livia	LSM14A, mRNA processing body assembly factor(LSM14A)
102095234	LOC102095234	Columba livia	putative N-acetylated-alpha-linked acidic dipeptidase(LOC102095234)
104828412	MRPL3	Haliaeetus leucocephalus	mitochondrial ribosomal protein L3(MRPL3)
102098871	ZCCHC8	Columba livia	zinc finger CCHC-type containing 8(ZCCHC8)
102084195	KCNH6	Columba livia	potassium voltage-gated channel subfamily H member 6(KCNH6)
102098873	LEPROT	Columba livia	leptin receptor overlapping transcript(LEPROT)
102083589	PDE4B	Columba livia	phosphodiesterase 4B(PDE4B)
102086328	CACNA1B	Columba livia	calcium voltage-gated channel subunit alpha1 B(CACNA1B)
102083586	BCL7A	Columba livia	BCL tumor suppressor 7A(BCL7A)
102090877	NCOR2	Columba livia	nuclear receptor corepressor 2(NCOR2)
102083591	TGFBR2	Columba livia	transforming growth factor beta receptor 2(TGFBR2)
102097363	NUDT3	Columba livia	nudix hydrolase 3(NUDT3)
102097361	ROCK1	Columba livia	Rho associated coiled-coil containing protein kinase 1(ROCK1)
102098882	SEC23A	Columba livia	Sec23 homolog A, coat complex II component(SEC23A)
102095221	ZCCHC17	Columba livia	zinc finger CCHC-type containing 17(ZCCHC17)
102095223	SLC25A17	Columba livia	solute carrier family 25 member 17(SLC25A17)
102086311	THUMPD3	Columba livia	THUMP domain containing 3(THUMPD3)
102098887	KIF20A	Columba livia	kinesin family member 20A(KIF20A)
102083594	USP54	Columba livia	ubiquitin specific peptidase 54(USP54)
102090869	ZBTB10	Columba livia	zinc finger and BTB domain containing 10(ZBTB10)
104023050	RDX	Nipponia nippon	radixin(RDX)
102083597	RSF1	Columba livia	remodeling and spacing factor 1(RSF1)
104037702	ZFAND5	Pelecanus crispus	zinc finger AN1-type containing 5(ZFAND5)
102098892	AKAP9	Columba livia	A-kinase anchoring protein 9(AKAP9)
102091794	NLGN4X	Columba livia	neuroligin 4, X-linked(NLGN4X)
