From	To	Species	Gene Name
105415956	KHDRBS3	Aquila chrysaetos canadensis	KH RNA binding domain containing, signal transduction associated 3(KHDRBS3)
102087787	PDHA1	Columba livia	pyruvate dehydrogenase (lipoamide) alpha 1(PDHA1)
102086714	HNRNPAB	Columba livia	heterogeneous nuclear ribonucleoprotein A/B(HNRNPAB)
102092040	LOC102092040	Columba livia	neuron-specific protein family member 1(LOC102092040)
102086711	TPST1	Columba livia	tyrosylprotein sulfotransferase 1(TPST1)
102084154	GABRG2	Columba livia	gamma-aminobutyric acid type A receptor gamma2 subunit(GABRG2)
102085822	CR1	Columba livia	complement C3b/C4b receptor 1 (Knops blood group)(CR1)
101917414	FUBP1	Falco peregrinus	far upstream element binding protein 1(FUBP1)
102094235	JADE1	Columba livia	jade family PHD finger 1(JADE1)
102084843	CRIM1	Columba livia	cysteine rich transmembrane BMP regulator 1(CRIM1)
102098873	LEPROT	Columba livia	leptin receptor overlapping transcript(LEPROT)
103894617	HMGN3	Aptenodytes forsteri	high mobility group nucleosomal binding domain 3(HMGN3)
102097475	GFRA1	Columba livia	GDNF family receptor alpha 1(GFRA1)
105406607	RERE	Aquila chrysaetos canadensis	arginine-glutamic acid dipeptide repeats(RERE)
102087985	PTPRN	Columba livia	protein tyrosine phosphatase, receptor type N(PTPRN)
104564809	CASK	Tinamus guttatus	calcium/calmodulin dependent serine protein kinase(CASK)
103924134	RBFOX2	Pygoscelis adeliae	RNA binding protein, fox-1 homolog 2(RBFOX2)
102089754	SLC6A6	Columba livia	solute carrier family 6 member 6(SLC6A6)
102083450	DOK4	Columba livia	docking protein 4(DOK4)
102083451	OLFM1	Columba livia	olfactomedin 1(OLFM1)
102091196	MRPL38	Columba livia	mitochondrial ribosomal protein L38(MRPL38)
102089750	GFRA4	Columba livia	GDNF family receptor alpha 4(GFRA4)
102089753	CCNL1	Columba livia	cyclin L1(CCNL1)
102086725	U2SURP	Columba livia	U2 snRNP associated SURP domain containing(U2SURP)
102083448	TMEM106B	Columba livia	transmembrane protein 106B(TMEM106B)
102086715	CLTB	Columba livia	clathrin light chain B(CLTB)
102094245	B3GALNT2	Columba livia	beta-1,3-N-acetylgalactosaminyltransferase 2(B3GALNT2)
102091095	OSBPL8	Columba livia	oxysterol binding protein like 8(OSBPL8)
102091955	SPIN1	Columba livia	spindlin 1(SPIN1)
102084160	GLG1	Columba livia	golgi glycoprotein 1(GLG1)
102086311	THUMPD3	Columba livia	THUMP domain containing 3(THUMPD3)
102092811	SCD5	Columba livia	stearoyl-CoA desaturase 5(SCD5)
102098887	KIF20A	Columba livia	kinesin family member 20A(KIF20A)
102091572	BICD2	Columba livia	BICD cargo adaptor 2(BICD2)
102098884	RPN2	Columba livia	ribophorin II(RPN2)
102094241	AASS	Columba livia	aminoadipate-semialdehyde synthase(AASS)
102094893	NECTIN1	Columba livia	nectin cell adhesion molecule 1(NECTIN1)
105404199	GNB4	Aquila chrysaetos canadensis	G protein subunit beta 4(GNB4)
102097211	PROS1	Columba livia	protein S (alpha)(PROS1)
106889666	LOC106889666	Calidris pugnax	chromosome unknown open reading frame, human C1orf35(LOC106889666)
102086102	AREL1	Columba livia	apoptosis resistant E3 ubiquitin protein ligase 1(AREL1)
103916398	MTSS1	Pygoscelis adeliae	MTSS1, I-BAR domain containing(MTSS1)
102092164	WSB1	Columba livia	WD repeat and SOCS box containing 1(WSB1)
102093804	CHGA	Columba livia	chromogranin A(CHGA)
102092920	RPL7L1	Columba livia	ribosomal protein L7 like 1(RPL7L1)
102083419	SFXN1	Columba livia	sideroflexin 1(SFXN1)
102084175	LOC102084175	Columba livia	uncharacterized LOC102084175(LOC102084175)
102095117	SERINC3	Columba livia	serine incorporator 3(SERINC3)
102092826	GTF2A1	Columba livia	general transcription factor IIA subunit 1(GTF2A1)
102097357	SLC25A3	Columba livia	solute carrier family 25 member 3(SLC25A3)
102084177	SRPRA	Columba livia	SRP receptor alpha subunit(SRPRA)
102086303	PARP1	Columba livia	poly(ADP-ribose) polymerase 1(PARP1)
102095111	GLCCI1	Columba livia	glucocorticoid induced 1(GLCCI1)
102089094	DDX55	Columba livia	DEAD-box helicase 55(DDX55)
102098364	SYCP1	Columba livia	synaptonemal complex protein 1(SYCP1)
102084947	EIF4G2	Columba livia	eukaryotic translation initiation factor 4 gamma 2(EIF4G2)
102092636	SLC25A15	Columba livia	solute carrier family 25 member 15(SLC25A15)
102092152	SRSF11	Columba livia	serine and arginine rich splicing factor 11(SRSF11)
102084182	HNRNPK	Columba livia	heterogeneous nuclear ribonucleoprotein K(HNRNPK)
102097343	FGFR1OP2	Columba livia	FGFR1 oncogene partner 2(FGFR1OP2)
102097342	DUSP12	Columba livia	dual specificity phosphatase 12(DUSP12)
102084042	NT5DC2	Columba livia	5'-nucleotidase domain containing 2(NT5DC2)
102095107	LDLRAP1	Columba livia	low density lipoprotein receptor adaptor protein 1(LDLRAP1)
102094367	tmem65	Columba livia	transmembrane protein 65(TMEM65)
102094368	ARGLU1	Columba livia	arginine and glutamate rich 1(ARGLU1)
102058103	NUCB2	Falco cherrug	nucleobindin 2(NUCB2)
102089881	ATP2B2	Columba livia	ATPase plasma membrane Ca2+ transporting 2(ATP2B2)
102092995	OSBPL2	Columba livia	oxysterol binding protein like 2(OSBPL2)
102089883	SLC24A5	Columba livia	solute carrier family 24 member 5(SLC24A5)
102092085	SCN3A	Columba livia	sodium voltage-gated channel alpha subunit 3(SCN3A)
102086615	CCDC3	Columba livia	coiled-coil domain containing 3(CCDC3)
102090198	CTSD	Columba livia	cathepsin D(CTSD)
102083481	RASD1	Columba livia	ras related dexamethasone induced 1(RASD1)
102087608	GNB1	Columba livia	G protein subunit beta 1(GNB1)
105399060	CCNY	Aquila chrysaetos canadensis	cyclin Y(CCNY)
102086763	FAM210B	Columba livia	family with sequence similarity 210 member B(FAM210B)
102097912	LOC102097912	Columba livia	dynactin subunit 2-like(LOC102097912)
102091856	STXBP5L	Columba livia	syntaxin binding protein 5 like(STXBP5L)
102097127	EPB41L3	Columba livia	erythrocyte membrane protein band 4.1 like 3(EPB41L3)
102093435	JADE2	Columba livia	jade family PHD finger 2(JADE2)
102094338	NOS1AP	Columba livia	nitric oxide synthase 1 adaptor protein(NOS1AP)
102092861	CDH2	Columba livia	cadherin 2(CDH2)
102087081	CLOCK	Columba livia	clock circadian regulator(CLOCK)
102086356	HSPA8	Columba livia	heat shock protein family A (Hsp70) member 8(HSPA8)
102086358	GHRHR	Columba livia	growth hormone releasing hormone receptor(GHRHR)
102097905	SSU72	Columba livia	SSU72 homolog, RNA polymerase II CTD phosphatase(SSU72)
102097424	BTBD3	Columba livia	BTB domain containing 3(BTBD3)
102090821	SLC38A2	Columba livia	solute carrier family 38 member 2(SLC38A2)
102087187	SPTBN1	Columba livia	spectrin beta, non-erythrocytic 1(SPTBN1)
104840331	PRDX6	Haliaeetus leucocephalus	peroxiredoxin 6(PRDX6)
103895545	UBAP2	Aptenodytes forsteri	ubiquitin associated protein 2(UBAP2)
102083466	PTBP2	Columba livia	polypyrimidine tract binding protein 2(PTBP2)
102093844	FAM177A1	Columba livia	family with sequence similarity 177 member A1(FAM177A1)
102091743	CCNI	Columba livia	cyclin I(CCNI)
102091844	ERGIC2	Columba livia	ERGIC and golgi 2(ERGIC2)
102097252	HNRNPA3	Columba livia	heterogeneous nuclear ribonucleoprotein A3(HNRNPA3)
102087769	ACTR1A	Columba livia	ARP1 actin-related protein 1 homolog A, centractin alpha(ACTR1A)
104070007	MYEF2	Fulmarus glacialis	myelin expression factor 2(MYEF2)
102092968	BIN1	Columba livia	bridging integrator 1(BIN1)
102092050	LOC102092050	Columba livia	ubiquitin-conjugating enzyme E2 R2(LOC102092050)
102086742	TM6SF1	Columba livia	transmembrane 6 superfamily member 1(TM6SF1)
102083475	TSC22D1	Columba livia	TSC22 domain family member 1(TSC22D1)
105404898	CNTN1	Aquila chrysaetos canadensis	contactin 1(CNTN1)
102094023	SRPK2	Columba livia	SRSF protein kinase 2(SRPK2)
103902987	LOC103902987	Aptenodytes forsteri	myosin regulatory light chain 2, smooth muscle minor isoform-like(LOC103902987)
102092190	LOC102092190	Columba livia	chromosome unknown open reading frame, human C6orf203(LOC102092190)
102091830	PIGB	Columba livia	phosphatidylinositol glycan anchor biosynthesis class B(PIGB)
102092879	ZRANB2	Columba livia	zinc finger RANBP2-type containing 2(ZRANB2)
102097306	SUB1	Columba livia	SUB1 homolog, transcriptional regulator(SUB1)
102098191	ZFR	Columba livia	zinc finger RNA binding protein(ZFR)
102086332	NDST2	Columba livia	N-deacetylase and N-sulfotransferase 2(NDST2)
102084811	CPNE1	Columba livia	copine 1(CPNE1)
102094223	SLC25A6	Columba livia	solute carrier family 25 member 6(SLC25A6)
102090843	TBCA	Columba livia	tubulin folding cofactor A(TBCA)
102097444	AKAIN1	Columba livia	A-kinase anchor inhibitor 1(AKAIN1)
102091620	KAT2B	Columba livia	lysine acetyltransferase 2B(KAT2B)
102095171	LOC102095171	Columba livia	transmembrane protein 14C(LOC102095171)
105412821	MAPK8	Aquila chrysaetos canadensis	mitogen-activated protein kinase 8(MAPK8)
102087057	PNISR	Columba livia	PNN interacting serine and arginine rich protein(PNISR)
102085201	RCN2	Columba livia	reticulocalbin 2(RCN2)
106145967	LOC106145967	Columba livia	uncharacterized LOC106145967(LOC106145967)
102092892	SGSM2	Columba livia	small G protein signaling modulator 2(SGSM2)
102097810	TRPV2	Columba livia	transient receptor potential cation channel subfamily V member 2(TRPV2)
102096048	TM2D1	Columba livia	TM2 domain containing 1(TM2D1)
102092893	SPARC	Columba livia	secreted protein acidic and cysteine rich(SPARC)
102095562	LOC102095562	Columba livia	small ubiquitin-related modifier 3(LOC102095562)
102096951	DNAJB14	Columba livia	DnaJ heat shock protein family (Hsp40) member B14(DNAJB14)
102087841	ANKRD10	Columba livia	ankyrin repeat domain 10(ANKRD10)
102085387	KIAA1191	Columba livia	KIAA1191 ortholog(KIAA1191)
102087844	NELL1	Columba livia	neural EGFL like 1(NELL1)
102091423	pitpna	Columba livia	phosphatidylinositol transfer protein alpha(PITPNA)
102094515	HOOK1	Columba livia	hook microtubule tethering protein 1(HOOK1)
102087043	PTP4A1	Columba livia	protein tyrosine phosphatase type IVA, member 1(PTP4A1)
102087147	ATP5A1	Columba livia	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle(ATP5A1)
102088423	TSPAN7	Columba livia	tetraspanin 7(TSPAN7)
104573643	RBM5	Tinamus guttatus	RNA binding motif protein 5(RBM5)
102086668	LOC102086668	Columba livia	NADH-cytochrome b5 reductase 3(LOC102086668)
102097800	ABCD3	Columba livia	ATP binding cassette subfamily D member 3(ABCD3)
102096132	LRGUK	Columba livia	leucine rich repeats and guanylate kinase domain containing(LRGUK)
102094801	CAPRIN1	Columba livia	cell cycle associated protein 1(CAPRIN1)
102094042	STEAP2	Columba livia	STEAP2 metalloreductase(STEAP2)
102094425	KPNB1	Columba livia	karyopherin subunit beta 1(KPNB1)
102098279	KCMF1	Columba livia	potassium channel modulatory factor 1(KCMF1)
102094181	PRKACB	Columba livia	protein kinase cAMP-activated catalytic subunit beta(PRKACB)
102085910	SMAD2	Columba livia	SMAD family member 2(SMAD2)
102087817	CLINT1	Columba livia	clathrin interactor 1(CLINT1)
102092496	ATP1A1	Columba livia	ATPase Na+/K+ transporting subunit alpha 1(ATP1A1)
102094529	ZNF207	Columba livia	zinc finger protein 207(ZNF207)
102087332	PAFAH1B1	Columba livia	platelet activating factor acetylhydrolase 1b regulatory subunit 1(PAFAH1B1)
102095297	PIK3CD	Columba livia	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta(PIK3CD)
102087330	DDX3X	Columba livia	DEAD-box helicase 3, X-linked(DDX3X)
