From	To	Species	Gene Name
102092048	FBF1	Columba livia	Fas binding factor 1(FBF1)
102089741	TSPAN33	Columba livia	tetraspanin 33(TSPAN33)
102084834	RFC1	Columba livia	replication factor C subunit 1(RFC1)
106886217	RNF220	Calidris pugnax	ring finger protein 220(RNF220)
102086714	HNRNPAB	Columba livia	heterogeneous nuclear ribonucleoprotein A/B(HNRNPAB)
102092040	LOC102092040	Columba livia	neuron-specific protein family member 1(LOC102092040)
102086120	FNIP2	Columba livia	folliculin interacting protein 2(FNIP2)
102092807	LOC102092807	Columba livia	actin, cytoplasmic type 5(LOC102092807)
102091968	RAN	Columba livia	RAN, member RAS oncogene family(RAN)
104828412	MRPL3	Haliaeetus leucocephalus	mitochondrial ribosomal protein L3(MRPL3)
102086514	PBX1	Columba livia	PBX homeobox 1(PBX1)
102098873	LEPROT	Columba livia	leptin receptor overlapping transcript(LEPROT)
102098876	ZNF217	Columba livia	zinc finger protein 217(ZNF217)
102098878	SH3BGRL3	Columba livia	SH3 domain binding glutamate rich protein like 3(SH3BGRL3)
102090879	CCDC173	Columba livia	coiled-coil domain containing 173(CCDC173)
102092610	LOC102092610	Columba livia	nuclear cap-binding protein subunit 2(LOC102092610)
105406607	RERE	Aquila chrysaetos canadensis	arginine-glutamic acid dipeptide repeats(RERE)
102092618	LOC102092618	Columba livia	radial spoke head 10 homolog B(LOC102092618)
103924134	RBFOX2	Pygoscelis adeliae	RNA binding protein, fox-1 homolog 2(RBFOX2)
105406204	DYNC2LI1	Aquila chrysaetos canadensis	dynein cytoplasmic 2 light intermediate chain 1(DYNC2LI1)
105412439	GPD1L	Aquila chrysaetos canadensis	glycerol-3-phosphate dehydrogenase 1-like(GPD1L)
102091196	MRPL38	Columba livia	mitochondrial ribosomal protein L38(MRPL38)
102091754	RPP40	Columba livia	ribonuclease P/MRP subunit p40(RPP40)
102086720	RNF216	Columba livia	ring finger protein 216(RNF216)
102085315	ZC3H13	Columba livia	zinc finger CCCH-type containing 13(ZC3H13)
102086715	CLTB	Columba livia	clathrin light chain B(CLTB)
102094383	CHORDC1	Columba livia	cysteine and histidine rich domain containing 1(CHORDC1)
102097363	NUDT3	Columba livia	nudix hydrolase 3(NUDT3)
