From	To	Species	Gene Name
102085405	IFNGR1	Columba livia	interferon gamma receptor 1(IFNGR1)
102089741	TSPAN33	Columba livia	tetraspanin 33(TSPAN33)
102083446	DMTF1	Columba livia	cyclin D binding myb like transcription factor 1(DMTF1)
102086711	TPST1	Columba livia	tyrosylprotein sulfotransferase 1(TPST1)
102098471	SLU7	Columba livia	SLU7 homolog, splicing factor(SLU7)
102092040	LOC102092040	Columba livia	neuron-specific protein family member 1(LOC102092040)
102097479	PKHD1	Columba livia	polycystic kidney and hepatic disease 1 (autosomal recessive)(PKHD1)
102091968	RAN	Columba livia	RAN, member RAS oncogene family(RAN)
104828412	MRPL3	Haliaeetus leucocephalus	mitochondrial ribosomal protein L3(MRPL3)
102086514	PBX1	Columba livia	PBX homeobox 1(PBX1)
102098873	LEPROT	Columba livia	leptin receptor overlapping transcript(LEPROT)
102098088	LOC102098088	Columba livia	alcohol dehydrogenase 1-like(LOC102098088)
102084984	CDCA7	Columba livia	cell division cycle associated 7(CDCA7)
105406607	RERE	Aquila chrysaetos canadensis	arginine-glutamic acid dipeptide repeats(RERE)
102091085	FBXO30	Columba livia	F-box protein 30(FBXO30)
102091299	ARL14EP	Columba livia	ADP ribosylation factor like GTPase 14 effector protein(ARL14EP)
102092618	LOC102092618	Columba livia	radial spoke head 10 homolog B(LOC102092618)
105409414	SLC1A1	Aquila chrysaetos canadensis	solute carrier family 1 member 1(SLC1A1)
105406204	DYNC2LI1	Aquila chrysaetos canadensis	dynein cytoplasmic 2 light intermediate chain 1(DYNC2LI1)
102091196	MRPL38	Columba livia	mitochondrial ribosomal protein L38(MRPL38)
102089853	LOC102089853	Columba livia	ankyrin repeat domain-containing protein 26(LOC102089853)
102098483	SNX9	Columba livia	sorting nexin 9(SNX9)
102085315	ZC3H13	Columba livia	zinc finger CCCH-type containing 13(ZC3H13)
102092763	CRYBA1	Columba livia	crystallin beta A1(CRYBA1)
102087993	EDEM2	Columba livia	ER degradation enhancing alpha-mannosidase like protein 2(EDEM2)
102094245	B3GALNT2	Columba livia	beta-1,3-N-acetylgalactosaminyltransferase 2(B3GALNT2)
102086521	MED15	Columba livia	mediator complex subunit 15(MED15)
102091095	OSBPL8	Columba livia	oxysterol binding protein like 8(OSBPL8)
102097361	ROCK1	Columba livia	Rho associated coiled-coil containing protein kinase 1(ROCK1)
102086525	RFTN1	Columba livia	raftlin, lipid raft linker 1(RFTN1)
102095223	SLC25A17	Columba livia	solute carrier family 25 member 17(SLC25A17)
102091090	ZC2HC1A	Columba livia	zinc finger C2HC-type containing 1A(ZC2HC1A)
102086311	THUMPD3	Columba livia	THUMP domain containing 3(THUMPD3)
102092811	SCD5	Columba livia	stearoyl-CoA desaturase 5(SCD5)
102085001	LOC102085001	Columba livia	cytochrome P450 2U1(LOC102085001)
102097464	LOC102097464	Columba livia	inositol 1,4,5-trisphosphate receptor-interacting protein-like 1(LOC102097464)
102086108	TTC27	Columba livia	tetratricopeptide repeat domain 27(TTC27)
102097211	PROS1	Columba livia	protein S (alpha)(PROS1)
104038178	CCDC40	Pelecanus crispus	coiled-coil domain containing 40(CCDC40)
106889666	LOC106889666	Calidris pugnax	chromosome unknown open reading frame, human C1orf35(LOC106889666)
102086102	AREL1	Columba livia	apoptosis resistant E3 ubiquitin protein ligase 1(AREL1)
102092169	GET4	Columba livia	golgi to ER traffic protein 4(GET4)
102091989	TENM1	Columba livia	teneurin transmembrane protein 1(TENM1)
102092829	TIGAR	Columba livia	TP53 induced glycolysis regulatory phosphatase(TIGAR)
102084174	LOC102084174	Columba livia	uncharacterized LOC102084174(LOC102084174)
102093604	BCO2	Columba livia	beta-carotene oxygenase 2(BCO2)
102095385	PIBF1	Columba livia	progesterone immunomodulatory binding factor 1(PIBF1)
102086306	AGPAT4	Columba livia	1-acylglycerol-3-phosphate O-acyltransferase 4(AGPAT4)
102092927	KAT7	Columba livia	lysine acetyltransferase 7(KAT7)
102084178	IFT122	Columba livia	intraflagellar transport 122(IFT122)
102092929	LOC102092929	Columba livia	arylacetamide deacetylase-like 4(LOC102092929)
102095382	LOC102095382	Columba livia	uncharacterized LOC102095382(LOC102095382)
102084177	SRPRA	Columba livia	SRP receptor alpha subunit(SRPRA)
102098896	DECR2	Columba livia	2,4-dienoyl-CoA reductase 2, peroxisomal(DECR2)
102092823	HMGB1	Columba livia	high mobility group box 1(HMGB1)
102095111	GLCCI1	Columba livia	glucocorticoid induced 1(GLCCI1)
102090816	AACS	Columba livia	acetoacetyl-CoA synthetase(AACS)
102085434	LOC102085434	Columba livia	acyl-coenzyme A thioesterase 1(LOC102085434)
102094866	SGSM3	Columba livia	small G protein signaling modulator 3(SGSM3)
102084947	EIF4G2	Columba livia	eukaryotic translation initiation factor 4 gamma 2(EIF4G2)
102092636	SLC25A15	Columba livia	solute carrier family 25 member 15(SLC25A15)
102092012	AIM1	Columba livia	absent in melanoma 1(AIM1)
102097343	FGFR1OP2	Columba livia	FGFR1 oncogene partner 2(FGFR1OP2)
102097342	DUSP12	Columba livia	dual specificity phosphatase 12(DUSP12)
102094265	STMN1	Columba livia	stathmin 1(STMN1)
