From	To	Species	Gene Name
102092601	SMNDC1	Columba livia	survival motor neuron domain containing 1(SMNDC1)
102089746	REXO1	Columba livia	RNA exonuclease 1 homolog(REXO1)
102092048	FBF1	Columba livia	Fas binding factor 1(FBF1)
102092608	TIMMDC1	Columba livia	translocase of inner mitochondrial membrane domain containing 1(TIMMDC1)
102084837	AHSA1	Columba livia	activator of Hsp90 ATPase activity 1(AHSA1)
102089741	TSPAN33	Columba livia	tetraspanin 33(TSPAN33)
102084834	RFC1	Columba livia	replication factor C subunit 1(RFC1)
102091764	CCT7	Columba livia	chaperonin containing TCP1 subunit 7(CCT7)
106886217	RNF220	Calidris pugnax	ring finger protein 220(RNF220)
102086711	TPST1	Columba livia	tyrosylprotein sulfotransferase 1(TPST1)
102086120	FNIP2	Columba livia	folliculin interacting protein 2(FNIP2)
102092040	LOC102092040	Columba livia	neuron-specific protein family member 1(LOC102092040)
102095237	LSM14A	Columba livia	LSM14A, mRNA processing body assembly factor(LSM14A)
102084191	GMPR	Columba livia	guanosine monophosphate reductase(GMPR)
102091968	RAN	Columba livia	RAN, member RAS oncogene family(RAN)
104828412	MRPL3	Haliaeetus leucocephalus	mitochondrial ribosomal protein L3(MRPL3)
102098871	ZCCHC8	Columba livia	zinc finger CCHC-type containing 8(ZCCHC8)
102086514	PBX1	Columba livia	PBX homeobox 1(PBX1)
102098873	LEPROT	Columba livia	leptin receptor overlapping transcript(LEPROT)
102086324	MASTL	Columba livia	microtubule associated serine/threonine kinase like(MASTL)
102090879	CCDC173	Columba livia	coiled-coil domain containing 173(CCDC173)
102092610	LOC102092610	Columba livia	nuclear cap-binding protein subunit 2(LOC102092610)
105406607	RERE	Aquila chrysaetos canadensis	arginine-glutamic acid dipeptide repeats(RERE)
102092618	LOC102092618	Columba livia	radial spoke head 10 homolog B(LOC102092618)
103924134	RBFOX2	Pygoscelis adeliae	RNA binding protein, fox-1 homolog 2(RBFOX2)
105406204	DYNC2LI1	Aquila chrysaetos canadensis	dynein cytoplasmic 2 light intermediate chain 1(DYNC2LI1)
102091196	MRPL38	Columba livia	mitochondrial ribosomal protein L38(MRPL38)
102084825	RBM43	Columba livia	RNA binding motif protein 43(RBM43)
102095218	BIRC5	Columba livia	baculoviral IAP repeat containing 5(BIRC5)
102085315	ZC3H13	Columba livia	zinc finger CCCH-type containing 13(ZC3H13)
102094383	CHORDC1	Columba livia	cysteine and histidine rich domain containing 1(CHORDC1)
102097361	ROCK1	Columba livia	Rho associated coiled-coil containing protein kinase 1(ROCK1)
102086525	RFTN1	Columba livia	raftlin, lipid raft linker 1(RFTN1)
102091955	SPIN1	Columba livia	spindlin 1(SPIN1)
102095223	SLC25A17	Columba livia	solute carrier family 25 member 17(SLC25A17)
102092811	SCD5	Columba livia	stearoyl-CoA desaturase 5(SCD5)
102086311	THUMPD3	Columba livia	THUMP domain containing 3(THUMPD3)
102094897	POLR1D	Columba livia	RNA polymerase I subunit D(POLR1D)
102090865	HSPA13	Columba livia	heat shock protein family A (Hsp70) member 13(HSPA13)
102092621	PLA2G12A	Columba livia	phospholipase A2 group XIIA(PLA2G12A)
102091573	RNH1	Columba livia	ribonuclease/angiogenin inhibitor 1(RNH1)
104023050	RDX	Nipponia nippon	radixin(RDX)
102086108	TTC27	Columba livia	tetratricopeptide repeat domain 27(TTC27)
102086910	TMEM38A	Columba livia	transmembrane protein 38A(TMEM38A)
102089728	LOC102089728	Columba livia	A-kinase anchor protein 17B(LOC102089728)
102090619	FBXO6	Columba livia	F-box protein 6(FBXO6)
