From	To	Species	Gene Name
102090880	USP24	Columba livia	ubiquitin specific peptidase 24(USP24)
102092048	FBF1	Columba livia	Fas binding factor 1(FBF1)
102091766	HMCES	Columba livia	5-hydroxymethylcytosine (hmC) binding, ES cell-specific(HMCES)
102086714	HNRNPAB	Columba livia	heterogeneous nuclear ribonucleoprotein A/B(HNRNPAB)
102085306	RNF141	Columba livia	ring finger protein 141(RNF141)
102092040	LOC102092040	Columba livia	neuron-specific protein family member 1(LOC102092040)
102095234	LOC102095234	Columba livia	putative N-acetylated-alpha-linked acidic dipeptidase(LOC102095234)
102098871	ZCCHC8	Columba livia	zinc finger CCHC-type containing 8(ZCCHC8)
102098873	LEPROT	Columba livia	leptin receptor overlapping transcript(LEPROT)
102086324	MASTL	Columba livia	microtubule associated serine/threonine kinase like(MASTL)
102098878	SH3BGRL3	Columba livia	SH3 domain binding glutamate rich protein like 3(SH3BGRL3)
102090879	CCDC173	Columba livia	coiled-coil domain containing 173(CCDC173)
103924134	RBFOX2	Pygoscelis adeliae	RNA binding protein, fox-1 homolog 2(RBFOX2)
102092035	RARS2	Columba livia	arginyl-tRNA synthetase 2, mitochondrial(RARS2)
102091754	RPP40	Columba livia	ribonuclease P/MRP subunit p40(RPP40)
102086725	U2SURP	Columba livia	U2 snRNP associated SURP domain containing(U2SURP)
102085315	ZC3H13	Columba livia	zinc finger CCCH-type containing 13(ZC3H13)
102086715	CLTB	Columba livia	clathrin light chain B(CLTB)
102085309	VAPB	Columba livia	VAMP associated protein B and C(VAPB)
102097361	ROCK1	Columba livia	Rho associated coiled-coil containing protein kinase 1(ROCK1)
102095223	SLC25A17	Columba livia	solute carrier family 25 member 17(SLC25A17)
102086311	THUMPD3	Columba livia	THUMP domain containing 3(THUMPD3)
102092811	SCD5	Columba livia	stearoyl-CoA desaturase 5(SCD5)
102098887	KIF20A	Columba livia	kinesin family member 20A(KIF20A)
104023050	RDX	Nipponia nippon	radixin(RDX)
102083597	RSF1	Columba livia	remodeling and spacing factor 1(RSF1)
105404199	GNB4	Aquila chrysaetos canadensis	G protein subunit beta 4(GNB4)
102090615	ACSL3	Columba livia	acyl-CoA synthetase long-chain family member 3(ACSL3)
102098894	COMP	Columba livia	cartilage oligomeric matrix protein(COMP)
102092829	TIGAR	Columba livia	TP53 induced glycolysis regulatory phosphatase(TIGAR)
102086306	AGPAT4	Columba livia	1-acylglycerol-3-phosphate O-acyltransferase 4(AGPAT4)
102092826	GTF2A1	Columba livia	general transcription factor IIA subunit 1(GTF2A1)
102092827	LOC102092827	Columba livia	arylsulfatase D(LOC102092827)
102086302	MED21	Columba livia	mediator complex subunit 21(MED21)
102086303	PARP1	Columba livia	poly(ADP-ribose) polymerase 1(PARP1)
102090896	DAZL	Columba livia	deleted in azoospermia like(DAZL)
102098898	TBL1XR1	Columba livia	transducin beta like 1 X-linked receptor 1(TBL1XR1)
102092823	HMGB1	Columba livia	high mobility group box 1(HMGB1)
102090895	ACACA	Columba livia	acetyl-CoA carboxylase alpha(ACACA)
102092841	USP13	Columba livia	ubiquitin specific peptidase 13 (isopeptidase T-3)(USP13)
102085705	CHMP1B	Columba livia	charged multivesicular body protein 1B(CHMP1B)
102091394	DUSP16	Columba livia	dual specificity phosphatase 16(DUSP16)
102090890	KIF2C	Columba livia	kinesin family member 2C(KIF2C)
102086702	RANBP2	Columba livia	RAN binding protein 2(RANBP2)
104531501	ZFAND6	Caprimulgus carolinensis	zinc finger AN1-type containing 6(ZFAND6)
102097343	FGFR1OP2	Columba livia	FGFR1 oncogene partner 2(FGFR1OP2)
102097342	DUSP12	Columba livia	dual specificity phosphatase 12(DUSP12)
102095203	SEC14L1	Columba livia	SEC14 like lipid binding 1(SEC14L1)
102089080	HACD2	Columba livia	3-hydroxyacyl-CoA dehydratase 2(HACD2)
102092833	MAP1LC3B	Columba livia	microtubule associated protein 1 light chain 3 beta(MAP1LC3B)
102092009	LOC102092009	Columba livia	UDP-glucuronosyltransferase 1-8(LOC102092009)
102089084	LPGAT1	Columba livia	lysophosphatidylglycerol acyltransferase 1(LPGAT1)
102087885	TXNRD3	Columba livia	thioredoxin reductase 3(TXNRD3)
102087884	ACBD3	Columba livia	acyl-CoA binding domain containing 3(ACBD3)
102084602	KPNA6	Columba livia	karyopherin subunit alpha 6(KPNA6)
102087889	LOC102087889	Columba livia	gametocyte-specific factor 1(LOC102087889)
102083538	IFT88	Columba livia	intraflagellar transport 88(IFT88)
102092850	TFB2M	Columba livia	transcription factor B2, mitochondrial(TFB2M)
102090198	CTSD	Columba livia	cathepsin D(CTSD)
102087883	NMD3	Columba livia	NMD3 ribosome export adaptor(NMD3)
102090199	ACSL1	Columba livia	acyl-CoA synthetase long-chain family member 1(ACSL1)
106901014	TWF1	Calidris pugnax	twinfilin actin binding protein 1(TWF1)
102089507	PCGF6	Columba livia	polycomb group ring finger 6(PCGF6)
102097339	LOC102097339	Columba livia	proline-rich protein 22-like(LOC102097339)
102083542	RABL3	Columba livia	RAB, member of RAS oncogene family like 3(RABL3)
102091318	SYNE2	Columba livia	spectrin repeat containing nuclear envelope protein 2(SYNE2)
102086364	OXSR1	Columba livia	oxidative stress responsive 1(OXSR1)
102091710	ZFC3H1	Columba livia	zinc finger C3H1-type containing(ZFC3H1)
102086763	FAM210B	Columba livia	family with sequence similarity 210 member B(FAM210B)
102091714	ALDH18A1	Columba livia	aldehyde dehydrogenase 18 family member A1(ALDH18A1)
102086768	TESK2	Columba livia	testis-specific kinase 2(TESK2)
102089509	SECISBP2	Columba livia	SECIS binding protein 2(SECISBP2)
102092079	RRH	Columba livia	retinal pigment epithelium-derived rhodopsin homolog(RRH)
102087892	ar	Columba livia	androgen receptor(AR)
102092861	CDH2	Columba livia	cadherin 2(CDH2)
102092854	SUN2	Columba livia	Sad1 and UNC84 domain containing 2(SUN2)
102083556	ASPG	Columba livia	asparaginase(ASPG)
102086359	TTC3	Columba livia	tetratricopeptide repeat domain 3(TTC3)
102086351	PWP1	Columba livia	PWP1 homolog, endonuclein(PWP1)
102086736	ZDHHC3	Columba livia	zinc finger DHHC-type containing 3(ZDHHC3)
105401598	ARL3	Aquila chrysaetos canadensis	ADP ribosylation factor like GTPase 3(ARL3)
102087869	MSANTD4	Columba livia	Myb/SANT DNA binding domain containing 4 with coiled-coils(MSANTD4)
102086732	FAM160B1	Columba livia	family with sequence similarity 160 member B1(FAM160B1)
102091743	CCNI	Columba livia	cyclin I(CCNI)
102094112	SKP1	Columba livia	S-phase kinase associated protein 1(SKP1)
102097311	KLHL11	Columba livia	kelch like family member 11(KLHL11)
102094107	LOC102094107	Columba livia	transmembrane protein 178B(LOC102094107)
102086349	FRA10AC1	Columba livia	fragile site, folic acid type, rare, fra(10)(q23.3) or fra(10)(q24.2) candidate 1(FRA10AC1)
102097314	MTTP	Columba livia	microsomal triglyceride transfer protein(MTTP)
102086347	PPP1R42	Columba livia	protein phosphatase 1 regulatory subunit 42(PPP1R42)
102092864	NEO1	Columba livia	neogenin 1(NEO1)
102084619	CLIC4	Columba livia	chloride intracellular channel 4(CLIC4)
102092050	LOC102092050	Columba livia	ubiquitin-conjugating enzyme E2 R2(LOC102092050)
102086740	BLOC1S5	Columba livia	biogenesis of lysosomal organelles complex 1 subunit 5(BLOC1S5)
102086742	TM6SF1	Columba livia	transmembrane 6 superfamily member 1(TM6SF1)
102083569	RECK	Columba livia	reversion inducing cysteine rich protein with kazal motifs(RECK)
102094123	sfmbt1	Columba livia	Scm-like with four mbt domains 1(SFMBT1)
102087871	ARL13B	Columba livia	ADP ribosylation factor like GTPase 13B(ARL13B)
102097302	MTMR10	Columba livia	myotubularin related protein 10(MTMR10)
102094119	ARSK	Columba livia	arylsulfatase family member K(ARSK)
102094118	MTHFSD	Columba livia	methenyltetrahydrofolate synthetase domain containing(MTHFSD)
102092879	ZRANB2	Columba livia	zinc finger RANBP2-type containing 2(ZRANB2)
102097306	SUB1	Columba livia	SUB1 homolog, transcriptional regulator(SUB1)
102092878	GALNT3	Columba livia	polypeptide N-acetylgalactosaminyltransferase 3(GALNT3)
102086333	CILP	Columba livia	cartilage intermediate layer protein(CILP)
102092877	LOC102092877	Columba livia	uncharacterized LOC102092877(LOC102092877)
102086330	ALG12	Columba livia	ALG12, alpha-1,6-mannosyltransferase(ALG12)
102086331	TPD52L2	Columba livia	tumor protein D52 like 2(TPD52L2)
102086738	CHAF1B	Columba livia	chromatin assembly factor 1 subunit B(CHAF1B)
102083571	PHF20L1	Columba livia	PHD finger protein 20-like 1(PHF20L1)
102088410	CCNH	Columba livia	cyclin H(CCNH)
103923001	CDV3	Pygoscelis adeliae	CDV3 homolog(CDV3)
102093569	MAST4	Columba livia	microtubule associated serine/threonine kinase family member 4(MAST4)
102092892	SGSM2	Columba livia	small G protein signaling modulator 2(SGSM2)
102086792	FGFR1OP	Columba livia	FGFR1 oncogene partner(FGFR1OP)
102085386	AKAP1	Columba livia	A-kinase anchoring protein 1(AKAP1)
102096181	ETF1	Columba livia	eukaryotic translation termination factor 1(ETF1)
102085385	PANK1	Columba livia	pantothenate kinase 1(PANK1)
102086793	ARV1	Columba livia	ARV1 homolog, fatty acid homeostasis modulator(ARV1)
102096183	GLO1	Columba livia	glyoxalase I(GLO1)
102092893	SPARC	Columba livia	secreted protein acidic and cysteine rich(SPARC)
102093572	ELOVL5	Columba livia	ELOVL fatty acid elongase 5(ELOVL5)
102094173	LRIG1	Columba livia	leucine rich repeats and immunoglobulin like domains 1(LRIG1)
102085387	KIAA1191	Columba livia	KIAA1191 ortholog(KIAA1191)
102087841	ANKRD10	Columba livia	ankyrin repeat domain 10(ANKRD10)
102087446	RALY	Columba livia	RALY heterogeneous nuclear ribonucleoprotein(RALY)
102093564	EMC8	Columba livia	ER membrane protein complex subunit 8(EMC8)
102093567	MAU2	Columba livia	MAU2 sister chromatid cohesion factor(MAU2)
102096171	LOC102096171	Columba livia	serine/threonine-protein phosphatase 4 regulatory subunit 1-like(LOC102096171)
102087850	AK8	Columba livia	adenylate kinase 8(AK8)
102087853	LRRC28	Columba livia	leucine rich repeat containing 28(LRRC28)
102087819	SOX30	Columba livia	SRY-box 30(SOX30)
102087438	DDX54	Columba livia	DEAD-box helicase 54(DDX54)
102087436	FNDC7	Columba livia	fibronectin type III domain containing 7(FNDC7)
102087435	ARMC10	Columba livia	armadillo repeat containing 10(ARMC10)
102095297	PIK3CD	Columba livia	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta(PIK3CD)
106034804	LOC106034804	Anser cygnoides domesticus	uncharacterized LOC106034804(LOC106034804)
102085364	FSHR	Columba livia	follicle stimulating hormone receptor(FSHR)
102094157	LAMC1	Columba livia	laminin subunit gamma 1(LAMC1)
102093556	MGA	Columba livia	MGA, MAX dimerization protein(MGA)
102085367	rnf25	Columba livia	ring finger protein 25(RNF25)
102094601	SAMD13	Columba livia	sterile alpha motif domain containing 13(SAMD13)
105399071	CSNK1A1	Aquila chrysaetos canadensis	casein kinase 1 alpha 1(CSNK1A1)
102093535	CEP89	Columba livia	centrosomal protein 89(CEP89)
102095281	AAGAB	Columba livia	alpha- and gamma-adaptin binding protein(AAGAB)
102095280	SPATA5	Columba livia	spermatogenesis associated 5(SPATA5)
102087428	PHF2	Columba livia	PHD finger protein 2(PHF2)
102088405	OSBPL10	Columba livia	oxysterol binding protein like 10(OSBPL10)
102091304	DHRS12	Columba livia	dehydrogenase/reductase 12(DHRS12)
102091302	CCDC53	Columba livia	coiled-coil domain containing 53(CCDC53)
102085373	HDHD2	Columba livia	haloacid dehalogenase like hydrolase domain containing 2(HDHD2)
102093540	SGMS2	Columba livia	sphingomyelin synthase 2(SGMS2)
102096192	MTFR1	Columba livia	mitochondrial fission regulator 1(MTFR1)
105411926	MAPT	Aquila chrysaetos canadensis	microtubule associated protein tau(MAPT)
102092099	BMT2	Columba livia	base methyltransferase of 25S rRNA 2 homolog(BMT2)
102098817	HMBS	Columba livia	hydroxymethylbilane synthase(HMBS)
102087834	CCNJ	Columba livia	cyclin J(CCNJ)
102092095	PPP4R2	Columba livia	protein phosphatase 4 regulatory subunit 2(PPP4R2)
102092090	BRCC3	Columba livia	BRCA1/BRCA2-containing complex subunit 3(BRCC3)
102094161	NUP88	Columba livia	nucleoporin 88(NUP88)
102098831	EIF2S3	Columba livia	eukaryotic translation initiation factor 2 subunit gamma(EIF2S3)
102087411	ASPSCR1	Columba livia	ASPSCR1, UBX domain containing tether for SLC2A4(ASPSCR1)
102095274	INVS	Columba livia	inversin(INVS)
102098835	UBE2H	Columba livia	ubiquitin conjugating enzyme E2 H(UBE2H)
102098834	LOC102098834	Columba livia	pre-mRNA-splicing factor CWC22 homolog(LOC102098834)
106893180	ppp1cb	Calidris pugnax	protein phosphatase 1 catalytic subunit beta(PPP1CB)
104070337	ACADSB	Fulmarus glacialis	acyl-CoA dehydrogenase, short/branched chain(ACADSB)
102094653	CKAP5	Columba livia	cytoskeleton associated protein 5(CKAP5)
102094652	STRN3	Columba livia	striatin 3(STRN3)
102095882	UTP6	Columba livia	UTP6, small subunit processome component(UTP6)
102087802	DNAJC2	Columba livia	DnaJ heat shock protein family (Hsp40) member C2(DNAJC2)
102098828	HNRNPH1	Columba livia	heterogeneous nuclear ribonucleoprotein H1 (H)(HNRNPH1)
102093530	EBF2	Columba livia	early B-cell factor 2(EBF2)
102098841	MYO6	Columba livia	myosin VI(MYO6)
102095263	B9D1	Columba livia	B9 domain containing 1(B9D1)
102093518	EIF3D	Columba livia	eukaryotic translation initiation factor 3 subunit D(EIF3D)
102093519	CADM2	Columba livia	cell adhesion molecule 2(CADM2)
102095261	GNAZ	Columba livia	G protein subunit alpha z(GNAZ)
102087403	RAB5A	Columba livia	RAB5A, member RAS oncogene family(RAB5A)
102095268	UROS	Columba livia	uroporphyrinogen III synthase(UROS)
102085358	PPA2	Columba livia	pyrophosphatase (inorganic) 2(PPA2)
102087812	ARG2	Columba livia	arginase 2(ARG2)
102094657	BCR	Columba livia	BCR, RhoGEF and GTPase activating protein(BCR)
103894882	LOC103894882	Aptenodytes forsteri	septin-2(LOC103894882)
102098855	PAK5	Columba livia	p21 (RAC1) activated kinase 5(PAK5)
102093509	LOC102093509	Columba livia	guanine nucleotide-binding protein G(q) subunit alpha(LOC102093509)
102095254	LANCL1	Columba livia	LanC like 1(LANCL1)
102095256	hectd1	Columba livia	HECT domain E3 ubiquitin protein ligase 1(HECTD1)
102094631	MIOS	Columba livia	meiosis regulator for oocyte development(MIOS)
102094192	PIGA	Columba livia	phosphatidylinositol glycan anchor biosynthesis class A(PIGA)
102085328	LYPLA1	Columba livia	lysophospholipase I(LYPLA1)
103912963	EIF2B2	Pygoscelis adeliae	eukaryotic translation initiation factor 2B subunit beta(EIF2B2)
102094199	DDX42	Columba livia	DEAD-box helicase 42(DDX42)
102093510	PPP1R8	Columba livia	protein phosphatase 1 regulatory subunit 8(PPP1R8)
102098849	LOC102098849	Columba livia	phosphatidylinositol-binding clathrin assembly protein(LOC102098849)
102095246	LOC102095246	Columba livia	neural-cadherin(LOC102095246)
102095243	CORO1C	Columba livia	coronin 1C(CORO1C)
102095244	NR1D2	Columba livia	nuclear receptor subfamily 1 group D member 2(NR1D2)
102094645	UEVLD	Columba livia	UEV and lactate/malate dehyrogenase domains(UEVLD)
102094635	KDELR2	Columba livia	KDEL endoplasmic reticulum protein retention receptor 2(KDELR2)
102085332	PAPOLG	Columba livia	poly(A) polymerase gamma(PAPOLG)
102085330	LOC102085330	Columba livia	catenin alpha-3(LOC102085330)
102098859	TRPM1	Columba livia	transient receptor potential cation channel subfamily M member 1(TRPM1)
104842112	LOC104842112	Haliaeetus leucocephalus	lymphocyte antigen 6E(LOC104842112)
105402618	LAMP2	Aquila chrysaetos canadensis	lysosomal associated membrane protein 2(LAMP2)
102096618	EPHB6	Columba livia	EPH receptor B6(EPHB6)
102088980	KLHDC10	Columba livia	kelch domain containing 10(KLHDC10)
102096214	DHX30	Columba livia	DExH-box helicase 30(DHX30)
102092436	LOC102092436	Columba livia	GDNF-inducible zinc finger protein 1(LOC102092436)
103914746	PIAS1	Pygoscelis adeliae	protein inhibitor of activated STAT 1(PIAS1)
103901638	USP34	Aptenodytes forsteri	ubiquitin specific peptidase 34(USP34)
102092440	CASZ1	Columba livia	castor zinc finger 1(CASZ1)
103904369	G3BP1	Aptenodytes forsteri	G3BP stress granule assembly factor 1(G3BP1)
102095625	RAPGEF6	Columba livia	Rap guanine nucleotide exchange factor 6(RAPGEF6)
102095627	ZFAND3	Columba livia	zinc finger AN1-type containing 3(ZFAND3)
102095629	MAIP1	Columba livia	matrix AAA peptidase interacting protein 1(MAIP1)
104313532	PPM1A	Haliaeetus albicilla	protein phosphatase, Mg2+/Mn2+ dependent 1A(PPM1A)
101877675	LOC101877675	Melopsittacus undulatus	glutaredoxin 5(LOC101877675)
103916980	USP32	Pygoscelis adeliae	ubiquitin specific peptidase 32(USP32)
102096220	NAPG	Columba livia	NSF attachment protein gamma(NAPG)
102096609	LONP2	Columba livia	lon peptidase 2, peroxisomal(LONP2)
102095621	LOC102095621	Columba livia	uncharacterized serine/threonine-protein kinase SgK494(LOC102095621)
102088975	Mdn1	Columba livia	midasin AAA ATPase 1(MDN1)
102092425	ADCY3	Columba livia	adenylate cyclase 3(ADCY3)
102092426	KAT6A	Columba livia	lysine acetyltransferase 6A(KAT6A)
