From	To	Species	Gene Name
105404173	PRKCI	Aquila chrysaetos canadensis	protein kinase C iota(PRKCI)
102090883	TMEM64	Columba livia	transmembrane protein 64(TMEM64)
102091364	CNTN3	Columba livia	contactin 3(CNTN3)
102090880	USP24	Columba livia	ubiquitin specific peptidase 24(USP24)
102091764	CCT7	Columba livia	chaperonin containing TCP1 subunit 7(CCT7)
102086714	HNRNPAB	Columba livia	heterogeneous nuclear ribonucleoprotein A/B(HNRNPAB)
102085306	RNF141	Columba livia	ring finger protein 141(RNF141)
102086711	TPST1	Columba livia	tyrosylprotein sulfotransferase 1(TPST1)
102092040	LOC102092040	Columba livia	neuron-specific protein family member 1(LOC102092040)
102091769	TMEM135	Columba livia	transmembrane protein 135(TMEM135)
102092807	LOC102092807	Columba livia	actin, cytoplasmic type 5(LOC102092807)
104828412	MRPL3	Haliaeetus leucocephalus	mitochondrial ribosomal protein L3(MRPL3)
102098873	LEPROT	Columba livia	leptin receptor overlapping transcript(LEPROT)
102086328	CACNA1B	Columba livia	calcium voltage-gated channel subunit alpha1 B(CACNA1B)
102098381	URI1	Columba livia	URI1, prefoldin like chaperone(URI1)
103924134	RBFOX2	Pygoscelis adeliae	RNA binding protein, fox-1 homolog 2(RBFOX2)
102098386	JAK1	Columba livia	Janus kinase 1(JAK1)
102091378	MEX3D	Columba livia	mex-3 RNA binding family member D(MEX3D)
102085310	TBK1	Columba livia	TANK binding kinase 1(TBK1)
102085316	FAM124A	Columba livia	family with sequence similarity 124 member A(FAM124A)
102085315	ZC3H13	Columba livia	zinc finger CCCH-type containing 13(ZC3H13)
102086724	SIN3B	Columba livia	SIN3 transcription regulator family member B(SIN3B)
102085314	RRP1B	Columba livia	ribosomal RNA processing 1B(RRP1B)
102086715	CLTB	Columba livia	clathrin light chain B(CLTB)
102085309	VAPB	Columba livia	VAMP associated protein B and C(VAPB)
102085307	LOC102085307	Columba livia	NADH-cytochrome b5 reductase 2(LOC102085307)
102097361	ROCK1	Columba livia	Rho associated coiled-coil containing protein kinase 1(ROCK1)
102098882	SEC23A	Columba livia	Sec23 homolog A, coat complex II component(SEC23A)
102095223	SLC25A17	Columba livia	solute carrier family 25 member 17(SLC25A17)
102086311	THUMPD3	Columba livia	THUMP domain containing 3(THUMPD3)
102092811	SCD5	Columba livia	stearoyl-CoA desaturase 5(SCD5)
102098887	KIF20A	Columba livia	kinesin family member 20A(KIF20A)
104023050	RDX	Nipponia nippon	radixin(RDX)
102083597	RSF1	Columba livia	remodeling and spacing factor 1(RSF1)
102098352	YWHAQ	Columba livia	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta(YWHAQ)
105404199	GNB4	Aquila chrysaetos canadensis	G protein subunit beta 4(GNB4)
102092021	INIP	Columba livia	INTS3 and NABP interacting protein(INIP)
