From	To	Species	Gene Name
102095946	CAMK2A	Columba livia	calcium/calmodulin dependent protein kinase II alpha(CAMK2A)
102085400	SLC1A3	Columba livia	solute carrier family 1 member 3(SLC1A3)
102088109	FAR1	Columba livia	fatty acyl-CoA reductase 1(FAR1)
102084588	DTNA	Columba livia	dystrobrevin alpha(DTNA)
102099045	PRKAR1A	Columba livia	protein kinase cAMP-dependent type I regulatory subunit alpha(PRKAR1A)
102092040	LOC102092040	Columba livia	neuron-specific protein family member 1(LOC102092040)
102084154	GABRG2	Columba livia	gamma-aminobutyric acid type A receptor gamma2 subunit(GABRG2)
102085019	RGS8	Columba livia	regulator of G-protein signaling 8(RGS8)
102085822	CR1	Columba livia	complement C3b/C4b receptor 1 (Knops blood group)(CR1)
102096761	LOC102096761	Columba livia	protein S100-A9-like(LOC102096761)
102091968	RAN	Columba livia	RAN, member RAS oncogene family(RAN)
102098873	LEPROT	Columba livia	leptin receptor overlapping transcript(LEPROT)
103894617	HMGN3	Aptenodytes forsteri	high mobility group nucleosomal binding domain 3(HMGN3)
105405497	kras	Aquila chrysaetos canadensis	KRAS proto-oncogene, GTPase(KRAS)
102095933	SCD	Columba livia	stearoyl-CoA desaturase(SCD)
102091196	MRPL38	Columba livia	mitochondrial ribosomal protein L38(MRPL38)
102083448	TMEM106B	Columba livia	transmembrane protein 106B(TMEM106B)
104829460	SLC17A6	Haliaeetus leucocephalus	solute carrier family 17 member 6(SLC17A6)
102089335	ATP6V0A1	Columba livia	ATPase H+ transporting V0 subunit a1(ATP6V0A1)
102088084	GNB5	Columba livia	G protein subunit beta 5(GNB5)
102098615	FADS2	Columba livia	fatty acid desaturase 2(FADS2)
102091955	SPIN1	Columba livia	spindlin 1(SPIN1)
102084160	GLG1	Columba livia	golgi glycoprotein 1(GLG1)
102086311	THUMPD3	Columba livia	THUMP domain containing 3(THUMPD3)
102091572	BICD2	Columba livia	BICD cargo adaptor 2(BICD2)
102098713	RAB11FIP3	Columba livia	RAB11 family interacting protein 3(RAB11FIP3)
102085691	TMEM47	Columba livia	transmembrane protein 47(TMEM47)
102097862	AKAP11	Columba livia	A-kinase anchoring protein 11(AKAP11)
102090100	ATP6AP2	Columba livia	ATPase H+ transporting accessory protein 2(ATP6AP2)
106889666	LOC106889666	Calidris pugnax	chromosome unknown open reading frame, human C1orf35(LOC106889666)
102088965	SPON1	Columba livia	spondin 1(SPON1)
102093605	HEBP2	Columba livia	heme binding protein 2(HEBP2)
104831727	ATP6V1A	Haliaeetus leucocephalus	ATPase H+ transporting V1 subunit A(ATP6V1A)
102085987	RAB7A	Columba livia	RAB7A, member RAS oncogene family(RAB7A)
102087385	LOC102087385	Columba livia	mitochondrial amidoxime reducing component 2(LOC102087385)
102095725	RSRP1	Columba livia	arginine and serine rich protein 1(RSRP1)
102088665	ATP2A2	Columba livia	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2(ATP2A2)
102097357	SLC25A3	Columba livia	solute carrier family 25 member 3(SLC25A3)
102095382	LOC102095382	Columba livia	uncharacterized LOC102095382(LOC102095382)
102091892	RAC1	Columba livia	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)(RAC1)
102090816	AACS	Columba livia	acetoacetyl-CoA synthetase(AACS)
102084947	EIF4G2	Columba livia	eukaryotic translation initiation factor 4 gamma 2(EIF4G2)
102085805	PSAT1	Columba livia	phosphoserine aminotransferase 1(PSAT1)
102086505	CLASP1	Columba livia	cytoplasmic linker associated protein 1(CLASP1)
102097342	DUSP12	Columba livia	dual specificity phosphatase 12(DUSP12)
102089354	RAB6A	Columba livia	RAB6A, member RAS oncogene family(RAB6A)
102094671	LOC102094671	Columba livia	L-lactate dehydrogenase B chain-like(LOC102094671)
102096732	ACSL6	Columba livia	acyl-CoA synthetase long-chain family member 6(ACSL6)
102096733	DAAM2	Columba livia	dishevelled associated activator of morphogenesis 2(DAAM2)
102095107	LDLRAP1	Columba livia	low density lipoprotein receptor adaptor protein 1(LDLRAP1)
102084449	SCOC	Columba livia	short coiled-coil protein(SCOC)
102094368	ARGLU1	Columba livia	arginine and glutamate rich 1(ARGLU1)
102089881	ATP2B2	Columba livia	ATPase plasma membrane Ca2+ transporting 2(ATP2B2)
102096396	SURF4	Columba livia	surfeit 4(SURF4)
102084745	NDRG4	Columba livia	NDRG family member 4(NDRG4)
102090489	LOC102090489	Columba livia	chromosome unknown open reading frame, human C18orf32(LOC102090489)
102090198	CTSD	Columba livia	cathepsin D(CTSD)
102087608	GNB1	Columba livia	G protein subunit beta 1(GNB1)
