From	To	Species	Gene Name
102098371	KLHL18	Columba livia	kelch like family member 18(KLHL18)
105404173	PRKCI	Aquila chrysaetos canadensis	protein kinase C iota(PRKCI)
102090882	LSP1	Columba livia	lymphocyte-specific protein 1(LSP1)
102091364	CNTN3	Columba livia	contactin 3(CNTN3)
102090880	USP24	Columba livia	ubiquitin specific peptidase 24(USP24)
102098376	CACNG5	Columba livia	calcium voltage-gated channel auxiliary subunit gamma 5(CACNG5)
102091764	CCT7	Columba livia	chaperonin containing TCP1 subunit 7(CCT7)
102086714	HNRNPAB	Columba livia	heterogeneous nuclear ribonucleoprotein A/B(HNRNPAB)
102086713	COIL	Columba livia	coilin(COIL)
102085306	RNF141	Columba livia	ring finger protein 141(RNF141)
102086711	TPST1	Columba livia	tyrosylprotein sulfotransferase 1(TPST1)
102092040	LOC102092040	Columba livia	neuron-specific protein family member 1(LOC102092040)
102091769	TMEM135	Columba livia	transmembrane protein 135(TMEM135)
102086704	PARVA	Columba livia	parvin alpha(PARVA)
102095237	LSM14A	Columba livia	LSM14A, mRNA processing body assembly factor(LSM14A)
102095234	LOC102095234	Columba livia	putative N-acetylated-alpha-linked acidic dipeptidase(LOC102095234)
104828412	MRPL3	Haliaeetus leucocephalus	mitochondrial ribosomal protein L3(MRPL3)
102098871	ZCCHC8	Columba livia	zinc finger CCHC-type containing 8(ZCCHC8)
102083589	PDE4B	Columba livia	phosphodiesterase 4B(PDE4B)
102098873	LEPROT	Columba livia	leptin receptor overlapping transcript(LEPROT)
102091357	NTSR1	Columba livia	neurotensin receptor 1(NTSR1)
102086328	CACNA1B	Columba livia	calcium voltage-gated channel subunit alpha1 B(CACNA1B)
102083586	BCL7A	Columba livia	BCL tumor suppressor 7A(BCL7A)
102090877	NCOR2	Columba livia	nuclear receptor corepressor 2(NCOR2)
102092034	BDNF	Columba livia	brain derived neurotrophic factor(BDNF)
102098381	URI1	Columba livia	URI1, prefoldin like chaperone(URI1)
103924134	RBFOX2	Pygoscelis adeliae	RNA binding protein, fox-1 homolog 2(RBFOX2)
102098387	COPB1	Columba livia	coatomer protein complex subunit beta 1(COPB1)
102098386	JAK1	Columba livia	Janus kinase 1(JAK1)
102091378	MEX3D	Columba livia	mex-3 RNA binding family member D(MEX3D)
102091754	RPP40	Columba livia	ribonuclease P/MRP subunit p40(RPP40)
102085310	TBK1	Columba livia	TANK binding kinase 1(TBK1)
102085316	FAM124A	Columba livia	family with sequence similarity 124 member A(FAM124A)
102086725	U2SURP	Columba livia	U2 snRNP associated SURP domain containing(U2SURP)
102085315	ZC3H13	Columba livia	zinc finger CCCH-type containing 13(ZC3H13)
102086724	SIN3B	Columba livia	SIN3 transcription regulator family member B(SIN3B)
102085314	RRP1B	Columba livia	ribosomal RNA processing 1B(RRP1B)
102086715	CLTB	Columba livia	clathrin light chain B(CLTB)
102085309	VAPB	Columba livia	VAMP associated protein B and C(VAPB)
102085307	LOC102085307	Columba livia	NADH-cytochrome b5 reductase 2(LOC102085307)
102097361	ROCK1	Columba livia	Rho associated coiled-coil containing protein kinase 1(ROCK1)
102098882	SEC23A	Columba livia	Sec23 homolog A, coat complex II component(SEC23A)
102095221	ZCCHC17	Columba livia	zinc finger CCHC-type containing 17(ZCCHC17)
102092811	SCD5	Columba livia	stearoyl-CoA desaturase 5(SCD5)
102086311	THUMPD3	Columba livia	THUMP domain containing 3(THUMPD3)
102091368	MANBAL	Columba livia	mannosidase beta like(MANBAL)
102098887	KIF20A	Columba livia	kinesin family member 20A(KIF20A)
102090865	HSPA13	Columba livia	heat shock protein family A (Hsp70) member 13(HSPA13)
102098884	RPN2	Columba livia	ribophorin II(RPN2)
102083594	USP54	Columba livia	ubiquitin specific peptidase 54(USP54)
102083597	RSF1	Columba livia	remodeling and spacing factor 1(RSF1)
104023050	RDX	Nipponia nippon	radixin(RDX)
105404199	GNB4	Aquila chrysaetos canadensis	G protein subunit beta 4(GNB4)
102089097	CDH18	Columba livia	cadherin 18(CDH18)
102092021	INIP	Columba livia	INTS3 and NABP interacting protein(INIP)
102091385	NT5DC1	Columba livia	5'-nucleotidase domain containing 1(NT5DC1)
102098351	LOC102098351	Columba livia	chromosome unknown open reading frame, human C9orf3(LOC102098351)
102090615	ACSL3	Columba livia	acyl-CoA synthetase long-chain family member 3(ACSL3)
102098358	GPATCH8	Columba livia	G-patch domain containing 8(GPATCH8)
102098892	AKAP9	Columba livia	A-kinase anchoring protein 9(AKAP9)
102091794	NLGN4X	Columba livia	neuroligin 4, X-linked(NLGN4X)
102092829	TIGAR	Columba livia	TP53 induced glycolysis regulatory phosphatase(TIGAR)
102086306	AGPAT4	Columba livia	1-acylglycerol-3-phosphate O-acyltransferase 4(AGPAT4)
102085701	EPS8	Columba livia	epidermal growth factor receptor pathway substrate 8(EPS8)
102092826	GTF2A1	Columba livia	general transcription factor IIA subunit 1(GTF2A1)
102097357	SLC25A3	Columba livia	solute carrier family 25 member 3(SLC25A3)
102086302	MED21	Columba livia	mediator complex subunit 21(MED21)
102098895	CHERP	Columba livia	calcium homeostasis endoplasmic reticulum protein(CHERP)
102086303	PARP1	Columba livia	poly(ADP-ribose) polymerase 1(PARP1)
102098896	DECR2	Columba livia	2,4-dienoyl-CoA reductase 2, peroxisomal(DECR2)
102090895	ACACA	Columba livia	acetyl-CoA carboxylase alpha(ACACA)
102089094	DDX55	Columba livia	DEAD-box helicase 55(DDX55)
