From	To	Species	Gene Name
105402618	LAMP2	Aquila chrysaetos canadensis	lysosomal associated membrane protein 2(LAMP2)
102091556	TDP2	Columba livia	tyrosyl-DNA phosphodiesterase 2(TDP2)
102098215	DMBX1	Columba livia	diencephalon/mesencephalon homeobox 1(DMBX1)
102098315	FADS1	Columba livia	fatty acid desaturase 1(FADS1)
102096212	RAD51C	Columba livia	RAD51 paralog C(RAD51C)
102084588	DTNA	Columba livia	dystrobrevin alpha(DTNA)
102099045	PRKAR1A	Columba livia	protein kinase cAMP-dependent type I regulatory subunit alpha(PRKAR1A)
102092040	LOC102092040	Columba livia	neuron-specific protein family member 1(LOC102092040)
102089322	TMEM109	Columba livia	transmembrane protein 109(TMEM109)
102098309	ESYT2	Columba livia	extended synaptotagmin 2(ESYT2)
102085822	CR1	Columba livia	complement C3b/C4b receptor 1 (Knops blood group)(CR1)
101917414	FUBP1	Falco peregrinus	far upstream element binding protein 1(FUBP1)
102091968	RAN	Columba livia	RAN, member RAS oncogene family(RAN)
102098620	IWS1	Columba livia	IWS1, SUPT6H interacting protein(IWS1)
102086514	PBX1	Columba livia	PBX homeobox 1(PBX1)
102098873	LEPROT	Columba livia	leptin receptor overlapping transcript(LEPROT)
102098089	TMEM266	Columba livia	transmembrane protein 266(TMEM266)
105406607	RERE	Aquila chrysaetos canadensis	arginine-glutamic acid dipeptide repeats(RERE)
102091299	ARL14EP	Columba livia	ADP ribosylation factor like GTPase 14 effector protein(ARL14EP)
102092526	USPL1	Columba livia	ubiquitin specific peptidase like 1(USPL1)
105413007	CACNB2	Aquila chrysaetos canadensis	calcium voltage-gated channel auxiliary subunit beta 2(CACNB2)
103924134	RBFOX2	Pygoscelis adeliae	RNA binding protein, fox-1 homolog 2(RBFOX2)
102089754	SLC6A6	Columba livia	solute carrier family 6 member 6(SLC6A6)
102083450	DOK4	Columba livia	docking protein 4(DOK4)
102084570	CTNNAL1	Columba livia	catenin alpha like 1(CTNNAL1)
102091196	MRPL38	Columba livia	mitochondrial ribosomal protein L38(MRPL38)
