From	To	Species	Gene Name
102086319	HHLA1	Columba livia	HERV-H LTR-associating 1(HHLA1)
102090883	TMEM64	Columba livia	transmembrane protein 64(TMEM64)
102090880	USP24	Columba livia	ubiquitin specific peptidase 24(USP24)
102091769	TMEM135	Columba livia	transmembrane protein 135(TMEM135)
102095237	LSM14A	Columba livia	LSM14A, mRNA processing body assembly factor(LSM14A)
102095234	LOC102095234	Columba livia	putative N-acetylated-alpha-linked acidic dipeptidase(LOC102095234)
102098871	ZCCHC8	Columba livia	zinc finger CCHC-type containing 8(ZCCHC8)
102098873	LEPROT	Columba livia	leptin receptor overlapping transcript(LEPROT)
102083588	PKD2	Columba livia	polycystin 2, transient receptor potential cation channel(PKD2)
102086328	CACNA1B	Columba livia	calcium voltage-gated channel subunit alpha1 B(CACNA1B)
102098877	LOC102098877	Columba livia	myosin regulatory light chain 2, smooth muscle minor isoform(LOC102098877)
102083586	BCL7A	Columba livia	BCL tumor suppressor 7A(BCL7A)
102097379	SOX6	Columba livia	SRY-box 6(SOX6)
102091754	RPP40	Columba livia	ribonuclease P/MRP subunit p40(RPP40)
102091757	OTOL1	Columba livia	otolin 1(OTOL1)
102083591	TGFBR2	Columba livia	transforming growth factor beta receptor 2(TGFBR2)
102097361	ROCK1	Columba livia	Rho associated coiled-coil containing protein kinase 1(ROCK1)
102098882	SEC23A	Columba livia	Sec23 homolog A, coat complex II component(SEC23A)
102095221	ZCCHC17	Columba livia	zinc finger CCHC-type containing 17(ZCCHC17)
102098883	EHD4	Columba livia	EH domain containing 4(EHD4)
102095224	SLC16A4	Columba livia	solute carrier family 16 member 4(SLC16A4)
102095223	SLC25A17	Columba livia	solute carrier family 25 member 17(SLC25A17)
102086311	THUMPD3	Columba livia	THUMP domain containing 3(THUMPD3)
102098887	KIF20A	Columba livia	kinesin family member 20A(KIF20A)
102095220	ALDH8A1	Columba livia	aldehyde dehydrogenase 8 family member A1(ALDH8A1)
102090865	HSPA13	Columba livia	heat shock protein family A (Hsp70) member 13(HSPA13)
102090869	ZBTB10	Columba livia	zinc finger and BTB domain containing 10(ZBTB10)
104023050	RDX	Nipponia nippon	radixin(RDX)
102083597	RSF1	Columba livia	remodeling and spacing factor 1(RSF1)
102098892	AKAP9	Columba livia	A-kinase anchoring protein 9(AKAP9)
102098890	LOC102098890	Columba livia	ubiquitin carboxyl-terminal hydrolase CYLD(LOC102098890)
102086306	AGPAT4	Columba livia	1-acylglycerol-3-phosphate O-acyltransferase 4(AGPAT4)
102097356	ice2	Columba livia	interactor of little elongation complex ELL subunit 2(ICE2)
102085700	MARVELD2	Columba livia	MARVEL domain containing 2(MARVELD2)
102085701	EPS8	Columba livia	epidermal growth factor receptor pathway substrate 8(EPS8)
102097358	FKBP15	Columba livia	FK506 binding protein 15(FKBP15)
102086305	GATA2	Columba livia	GATA binding protein 2(GATA2)
102097357	SLC25A3	Columba livia	solute carrier family 25 member 3(SLC25A3)
102086302	MED21	Columba livia	mediator complex subunit 21(MED21)
102086303	PARP1	Columba livia	poly(ADP-ribose) polymerase 1(PARP1)
