From	To	Species	Gene Name
102083765	SPP1	Columba livia	secreted phosphoprotein 1(SPP1)
102085108	POLR1A	Columba livia	RNA polymerase I subunit A(POLR1A)
105404704	slc12a8	Aquila chrysaetos canadensis	solute carrier family 12 member 8(SLC12A8)
102089535	RASGEF1B	Columba livia	RasGEF domain family member 1B(RASGEF1B)
105415875	TMPRSS13	Aquila chrysaetos canadensis	transmembrane protease, serine 13(TMPRSS13)
102097952	MAP1LC3C	Columba livia	microtubule associated protein 1 light chain 3 gamma(MAP1LC3C)
102091213	TDO2	Columba livia	tryptophan 2,3-dioxygenase(TDO2)
102086329	ZFAND4	Columba livia	zinc finger AN1-type containing 4(ZFAND4)
105406884	OVOL2	Aquila chrysaetos canadensis	ovo like zinc finger 2(OVOL2)
102087848	SLC5A9	Columba livia	solute carrier family 5 member 9(SLC5A9)
102094598	NID2	Columba livia	nidogen 2(NID2)
102093057	FPGT	Columba livia	fucose-1-phosphate guanylyltransferase(FPGT)
102096427	CLUAP1	Columba livia	clusterin associated protein 1(CLUAP1)
102088271	SLMAP	Columba livia	sarcolemma associated protein(SLMAP)
102095166	GIF	Columba livia	gastric intrinsic factor(GIF)
102092230	FRMD4B	Columba livia	FERM domain containing 4B(FRMD4B)
102097748	NIPAL1	Columba livia	NIPA like domain containing 1(NIPAL1)
106900125	LOC106900125	Calidris pugnax	patched domain-containing protein 3-like(LOC106900125)
102083593	SALL4	Columba livia	spalt like transcription factor 4(SALL4)
102088275	LGALS3	Columba livia	galectin 3(LGALS3)
102093561	TICRR	Columba livia	TOPBP1 interacting checkpoint and replication regulator(TICRR)
102098881	DZIP1L	Columba livia	DAZ interacting zinc finger protein 1 like(DZIP1L)
102096613	LOC102096613	Columba livia	disintegrin and metalloproteinase domain-containing protein 9-like(LOC102096613)
102098712	MED26	Columba livia	mediator complex subunit 26(MED26)
102098354	SUCNR1	Columba livia	succinate receptor 1(SUCNR1)
102085427	RNF34	Columba livia	ring finger protein 34(RNF34)
102091030	MB21D1	Columba livia	Mab-21 domain containing 1(MB21D1)
105406310	ARHGEF17	Aquila chrysaetos canadensis	Rho guanine nucleotide exchange factor 17(ARHGEF17)
102084865	NUDT5	Columba livia	nudix hydrolase 5(NUDT5)
102086208	LOC102086208	Columba livia	V-set domain containing T-cell activation inhibitor 1-like(LOC102086208)
102084031	LOC102084031	Columba livia	DNA-dependent protein kinase catalytic subunit(LOC102084031)
102087598	FZD7	Columba livia	frizzled class receptor 7(FZD7)
102093413	LOC102093413	Columba livia	sulfate transporter(LOC102093413)
102098019	LOC102098019	Columba livia	uncharacterized LOC102098019(LOC102098019)
102095918	GPR157	Columba livia	G protein-coupled receptor 157(GPR157)
102087329	LOC102087329	Columba livia	vitelline membrane outer layer protein 1(LOC102087329)
102091218	mansc1	Columba livia	MANSC domain containing 1(MANSC1)
102087423	LOC102087423	Columba livia	coiled-coil domain-containing protein 169(LOC102087423)
102088292	PCBP3	Columba livia	poly(rC) binding protein 3(PCBP3)
