From	To	Species	Gene Name
102084543	PUS3	Columba livia	pseudouridylate synthase 3(PUS3)
102096949	NFE2L2	Columba livia	nuclear factor, erythroid 2 like 2(NFE2L2)
102091462	YIPF5	Columba livia	Yip1 domain family member 5(YIPF5)
102089573	MCM6	Columba livia	minichromosome maintenance complex component 6(MCM6)
102088183	SUMO2	Columba livia	small ubiquitin-like modifier 2(SUMO2)
102088596	HNRNPDL	Columba livia	heterogeneous nuclear ribonucleoprotein D like(HNRNPDL)
102087457	ACAD11	Columba livia	acyl-CoA dehydrogenase family member 11(ACAD11)
102085874	ECHDC3	Columba livia	enoyl-CoA hydratase domain containing 3(ECHDC3)
102096215	EGR1	Columba livia	early growth response 1(EGR1)
106145797	LXN	Columba livia	latexin(LXN)
102084280	CTC1	Columba livia	CST telomere replication complex component 1(CTC1)
102091871	XPNPEP1	Columba livia	X-prolyl aminopeptidase 1(XPNPEP1)
102092844	HMGCLL1	Columba livia	3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1(HMGCLL1)
102096187	PTER	Columba livia	phosphotriesterase related(PTER)
102088947	UNC13C	Columba livia	unc-13 homolog C(UNC13C)
102098185	MRPL19	Columba livia	mitochondrial ribosomal protein L19(MRPL19)
102086884	RAB29	Columba livia	RAB29, member RAS oncogene family(RAB29)
102091251	HEATR6	Columba livia	HEAT repeat containing 6(HEATR6)
102087409	TCP1	Columba livia	t-complex 1(TCP1)
102094075	PRPS2	Columba livia	phosphoribosyl pyrophosphate synthetase 2(PRPS2)
102093229	JAKMIP2	Columba livia	janus kinase and microtubule interacting protein 2(JAKMIP2)
102084155	PDLIM7	Columba livia	PDZ and LIM domain 7(PDLIM7)
102093675	PSMC6	Columba livia	proteasome 26S subunit, ATPase 6(PSMC6)
102085533	NPHP4	Columba livia	nephrocystin 4(NPHP4)
102097396	EIF4ENIF1	Columba livia	eukaryotic translation initiation factor 4E nuclear import factor 1(EIF4ENIF1)
102097896	LTA4H	Columba livia	leukotriene A4 hydrolase(LTA4H)
102086900	UNK	Columba livia	unkempt family zinc finger(UNK)
102097594	LOC102097594	Columba livia	laminin subunit beta-2-like(LOC102097594)
102095701	GSTK1	Columba livia	glutathione S-transferase kappa 1(GSTK1)
102093430	SMG6	Columba livia	SMG6, nonsense mediated mRNA decay factor(SMG6)
102096362	SMS	Columba livia	spermine synthase(SMS)
102092171	ST3GAL2	Columba livia	ST3 beta-galactoside alpha-2,3-sialyltransferase 2(ST3GAL2)
102086622	LOC102086622	Columba livia	E3 ubiquitin/ISG15 ligase TRIM25(LOC102086622)
102097155	LOC102097155	Columba livia	glucagon receptor(LOC102097155)
102091797	MRPS23	Columba livia	mitochondrial ribosomal protein S23(MRPS23)
102091052	RFX2	Columba livia	regulatory factor X2(RFX2)
102093755	LOC102093755	Columba livia	cullin-9(LOC102093755)
106145850	LOC106145850	Columba livia	cullin-9-like(LOC106145850)
102085459	KDM3A	Columba livia	lysine demethylase 3A(KDM3A)
102098179	FZD2	Columba livia	frizzled class receptor 2(FZD2)
