From	To	Species	Gene Name
102086432	HMGB3	Columba livia	high mobility group box 3(HMGB3)
102097429	CDC42EP4	Columba livia	CDC42 effector protein 4(CDC42EP4)
102086096	PTPN9	Columba livia	protein tyrosine phosphatase, non-receptor type 9(PTPN9)
102084542	TWF2	Columba livia	twinfilin actin binding protein 2(TWF2)
102087888	STAM	Columba livia	signal transducing adaptor molecule(STAM)
102092797	SNX30	Columba livia	sorting nexin family member 30(SNX30)
102085854	TMEM104	Columba livia	transmembrane protein 104(TMEM104)
102085794	RHBDL3	Columba livia	rhomboid like 3(RHBDL3)
105401680	LGI1	Aquila chrysaetos canadensis	leucine rich glioma inactivated 1(LGI1)
102097389	SDPR	Columba livia	serum deprivation response(SDPR)
102097250	PCYOX1	Columba livia	prenylcysteine oxidase 1(PCYOX1)
102090522	DRP2	Columba livia	dystrophin related protein 2(DRP2)
102085324	LMBRD2	Columba livia	LMBR1 domain containing 2(LMBRD2)
102096669	NUP58	Columba livia	nucleoporin 58(NUP58)
102085487	adgra3	Columba livia	adhesion G protein-coupled receptor A3(ADGRA3)
106894913	NPR3	Calidris pugnax	natriuretic peptide receptor 3(NPR3)
102095883	PTCHD1	Columba livia	patched domain containing 1(PTCHD1)
102093931	HAPLN4	Columba livia	hyaluronan and proteoglycan link protein 4(HAPLN4)
102097859	PLGRKT	Columba livia	plasminogen receptor with a C-terminal lysine(PLGRKT)
102083683	EFCAB2	Columba livia	EF-hand calcium binding domain 2(EFCAB2)
102095604	NXPH1	Columba livia	neurexophilin 1(NXPH1)
102096246	ATPAF2	Columba livia	ATP synthase mitochondrial F1 complex assembly factor 2(ATPAF2)
102093161	ZCCHC9	Columba livia	zinc finger CCHC-type containing 9(ZCCHC9)
102096839	TRMT44	Columba livia	tRNA methyltransferase 44 homolog (S. cerevisiae)(TRMT44)
102097656	ABLIM1	Columba livia	actin binding LIM protein 1(ABLIM1)
102097018	LPL	Columba livia	lipoprotein lipase(LPL)
102087063	RSBN1L	Columba livia	round spermatid basic protein 1 like(RSBN1L)
102084709	PMP22	Columba livia	peripheral myelin protein 22(PMP22)
102097423	ALCAM	Columba livia	activated leukocyte cell adhesion molecule(ALCAM)
102091884	FAM78A	Columba livia	family with sequence similarity 78 member A(FAM78A)
102083570	NDUFAF5	Columba livia	NADH:ubiquinone oxidoreductase complex assembly factor 5(NDUFAF5)
102096486	GAREM1	Columba livia	GRB2 associated regulator of MAPK1 subtype 1(GAREM1)
