From	To	Species	Gene Name
102097872	KLHDC4	Columba livia	kelch domain containing 4(KLHDC4)
102089811	PEX12	Columba livia	peroxisomal biogenesis factor 12(PEX12)
102091427	ZNF318	Columba livia	zinc finger protein 318(ZNF318)
102097387	ANGPTL1	Columba livia	angiopoietin like 1(ANGPTL1)
102086412	ADGRB3	Columba livia	adhesion G protein-coupled receptor B3(ADGRB3)
102087752	FAM105A	Columba livia	family with sequence similarity 105 member A(FAM105A)
102088029	PDCL	Columba livia	phosducin like(PDCL)
102095376	FAT1	Columba livia	FAT atypical cadherin 1(FAT1)
102085914	SNUPN	Columba livia	snurportin 1(SNUPN)
102086528	POLE2	Columba livia	DNA polymerase epsilon 2, accessory subunit(POLE2)
105400854	FGD6	Aquila chrysaetos canadensis	FYVE, RhoGEF and PH domain containing 6(FGD6)
102095397	RNPEPL1	Columba livia	arginyl aminopeptidase like 1(RNPEPL1)
102084726	RNF146	Columba livia	ring finger protein 146(RNF146)
102099001	calb1	Columba livia	calbindin 1(CALB1)
102091009	GABRB1	Columba livia	gamma-aminobutyric acid type A receptor beta1 subunit(GABRB1)
102084023	MGAT4A	Columba livia	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A(MGAT4A)
102084189	CSPG5	Columba livia	chondroitin sulfate proteoglycan 5(CSPG5)
102090847	mto1	Columba livia	mitochondrial tRNA translation optimization 1(MTO1)
102092003	DAPK1	Columba livia	death associated protein kinase 1(DAPK1)
102085454	VAX1	Columba livia	ventral anterior homeobox 1(VAX1)
