sex,stage,hypothalamus,pituitary,gonad
female,control,NA,NA,LOC102088141 ZNF593 TPH1 SFR1 LOC102095212 ACSS3 MCM2 ITGA11 IRF8 SLC16A1 LOC102090529 UBXN2A Tmem207 IL21R LOC102098758 LOC102096501 PCIF1 LRRC57 TPI1 EYS ZNF131 BFSP2 KBTBD12 ACSL5 FAM65C KCNG4 ccnjl
female,bldg,CREB5 LAPTM5,UNC45A MECR PRDX1 LOC102088968 SEPT9,IL13RA2 LOC106891379
female,lay,DNAJB5 FHL2 ZSWIM6 CACNG3 SPG21 CUTA POU3F2 GAL3ST1 LOC102089183 PPARGC1B LCOR LOC102093436 SLC1A2 IFFO2 KCNH6 LOC102084653 ONECUT1 HMGXB3 LOC102095914 FAM131A RRAS2 NDNF RBM19 KCNQ3 DUSP6 RHBDD1 GLI2 LOC108449003 FRMPD4 TLN1 RFX4,PUS3 NFE2L2 YIPF5 MCM6 SUMO2 HNRNPDL ACAD11 ECHDC3 EGR1 LXN CTC1 XPNPEP1 HMGCLL1 PTER UNC13C MRPL19 RAB29 HEATR6 TCP1 PRPS2 JAKMIP2 PDLIM7 PSMC6 NPHP4 EIF4ENIF1 LTA4H UNK LOC102097594 GSTK1 SMG6 SMS ST3GAL2 LOC102086622 LOC102097155 MRPS23 RFX2 LOC102093755 LOC106145850 KDM3A FZD2 NDFIP1 CDH9 mtg2 PALB2 IRF7 PDZRN4 FGF5 DIS3L2 PHF5A FAM161A TENM3 PITX3 XPO6 IL12RB2 DHRS7B ZNF346 PSMD7 ATOX1 ATP5C1 LOC102098778 LOC104025898 PLAG1 MAP3K4 HM13 BAHCC1 SLC30A1 MRPL37 TRMT11 BMP5 CAMKK2 ATP10D SH3YL1 ANKDD1A GRAMD1C ITGBL1 TMEM132D EAF1 SEC23B PDE7A MFSD13A TSPAN3,SPP1 POLR1A slc12a8 RASGEF1B TMPRSS13 MAP1LC3C TDO2 ZFAND4 OVOL2 SLC5A9 NID2 FPGT CLUAP1 SLMAP GIF FRMD4B NIPAL1 LOC106900125 SALL4 LGALS3 TICRR DZIP1L LOC102096613 MED26 SUCNR1 RNF34 MB21D1 ARHGEF17 NUDT5 LOC102086208 LOC102084031 FZD7 LOC102093413 LOC102098019 GPR157 LOC102087329 mansc1 LOC102087423 PCBP3 CD82 OTX1 LOC102098914 F13A1 RGS3 OSR1 LOC102093322 DHRS7 TSPAN1 SDK1 OPRL1 TCN2 CAPN9 LAMA4 SLC26A2 PTPN23 GALNT12 WT1 SAMD4A ADGRL4 OLFM4 ZC3H12A MPZL2 adamts1 TTI2 LOC102083464 MSC ERBB2 LOC102094835 FILIP1 DNAH9 THBS2 VWA1 FOXK1 MYL9 SNX8 GLIPR1 CDC73 ANO1 SCNN1B MAMDC2 LOC102092463 STK17B ITGB6 RMDN2 MYOF MYLIP TNIP2 LOC102093782 CENPF TNC TC2N cracr2b SLC9A1 AARS2 HOXB4 NSUN4 ANXA8L1 LOC102098107 LOC102086499 Rnf223 METTL4
female,inc-d3,ENOPH1 LRCH3 PHF14 ACOX1 NT5C1A EPN3 PRKCB TMEM206 RNMT KIAA1024 RB1CC1 LOC102084181 SUSD4 ACOX3 VWA5B1 PLCL1 GRID1 SYN2 SEMA4B CPNE7 LOC102089629 TCF7L2 CSRNP3 DLX5 COPS2 LOC102089053 LOC106145742,BRD7 QARS ALDH1A2 SOX18 CAPS2 PBX3 LOC102096126 FARP2 ST5 OAF MTRF1L,SLC35C1 LOC102083717 CCSER1 SULF1
female,inc-d9,NA,NA,LOC102094268 TSPO COG3 FLOT2 SBSPON LOC102087515 NDUFA4
female,inc-d17,p2ry1 ZBTB41 KCNJ6 COPS5 NUDT14 PRPF6,MED22,LOC102094759 AURKA GEM BBS2
female,hatch,JPH3 GLB1L2 SNCG SORD rubcn ASPHD2 NPY RNF157 GRAMD4,USP35 SCG3,PAPD7 STK10 KCNK17 CAPN14 RASL11A TMEM100
female,n5,EPS15L1 KATNAL1 SLC25A25 GUF1 SEC14L5 PTPRG PDGFA ABHD10 NMBR REEP2 LOC102097375 TADA3 DBI CPNE8 EXOC4,LOC102086694 LOC102085362 AGR2 PTGR2 MTHFD1 COL20A1 ADAL ARF4,HNF1B LOC102094992 PLK3 IL15 LEF1 CENPI DTL BMP2 TOR4A ACAA2 LOC102092620
female,n9,PDE9A PRDM12 LASP1,PHF21B,SESN2 SMTNL2 DIABLO
male,control,NA,NA,ARMC4 TFPI
