From	To	Species	Gene Name
105404173	PRKCI	Aquila chrysaetos canadensis	protein kinase C iota(PRKCI)
102098375	GABPB1	Columba livia	GA binding protein transcription factor beta subunit 1(GABPB1)
102090882	LSP1	Columba livia	lymphocyte-specific protein 1(LSP1)
102090883	TMEM64	Columba livia	transmembrane protein 64(TMEM64)
102090880	USP24	Columba livia	ubiquitin specific peptidase 24(USP24)
102091766	HMCES	Columba livia	5-hydroxymethylcytosine (hmC) binding, ES cell-specific(HMCES)
102086714	HNRNPAB	Columba livia	heterogeneous nuclear ribonucleoprotein A/B(HNRNPAB)
102085306	RNF141	Columba livia	ring finger protein 141(RNF141)
102086711	TPST1	Columba livia	tyrosylprotein sulfotransferase 1(TPST1)
102092040	LOC102092040	Columba livia	neuron-specific protein family member 1(LOC102092040)
102091769	TMEM135	Columba livia	transmembrane protein 135(TMEM135)
102092807	LOC102092807	Columba livia	actin, cytoplasmic type 5(LOC102092807)
102086704	PARVA	Columba livia	parvin alpha(PARVA)
102095237	LSM14A	Columba livia	LSM14A, mRNA processing body assembly factor(LSM14A)
104828412	MRPL3	Haliaeetus leucocephalus	mitochondrial ribosomal protein L3(MRPL3)
102098873	LEPROT	Columba livia	leptin receptor overlapping transcript(LEPROT)
102086324	MASTL	Columba livia	microtubule associated serine/threonine kinase like(MASTL)
102098876	ZNF217	Columba livia	zinc finger protein 217(ZNF217)
102083588	PKD2	Columba livia	polycystin 2, transient receptor potential cation channel(PKD2)
102092805	CASP6	Columba livia	caspase 6(CASP6)
105404184	FNDC3B	Aquila chrysaetos canadensis	fibronectin type III domain containing 3B(FNDC3B)
102098384	BICC1	Columba livia	BicC family RNA binding protein 1(BICC1)
102098381	URI1	Columba livia	URI1, prefoldin like chaperone(URI1)
103924134	RBFOX2	Pygoscelis adeliae	RNA binding protein, fox-1 homolog 2(RBFOX2)
102098386	JAK1	Columba livia	Janus kinase 1(JAK1)
102091378	MEX3D	Columba livia	mex-3 RNA binding family member D(MEX3D)
102086720	RNF216	Columba livia	ring finger protein 216(RNF216)
102085310	TBK1	Columba livia	TANK binding kinase 1(TBK1)
102085315	ZC3H13	Columba livia	zinc finger CCCH-type containing 13(ZC3H13)
102086715	CLTB	Columba livia	clathrin light chain B(CLTB)
102085309	VAPB	Columba livia	VAMP associated protein B and C(VAPB)
102083591	TGFBR2	Columba livia	transforming growth factor beta receptor 2(TGFBR2)
102098882	SEC23A	Columba livia	Sec23 homolog A, coat complex II component(SEC23A)
102097361	ROCK1	Columba livia	Rho associated coiled-coil containing protein kinase 1(ROCK1)
102086311	THUMPD3	Columba livia	THUMP domain containing 3(THUMPD3)
102092811	SCD5	Columba livia	stearoyl-CoA desaturase 5(SCD5)
102098887	KIF20A	Columba livia	kinesin family member 20A(KIF20A)
102091368	MANBAL	Columba livia	mannosidase beta like(MANBAL)
106045078	LOC106045078	Anser cygnoides domesticus	uncharacterized LOC106045078(LOC106045078)
102083594	USP54	Columba livia	ubiquitin specific peptidase 54(USP54)
104023050	RDX	Nipponia nippon	radixin(RDX)
105404199	GNB4	Aquila chrysaetos canadensis	G protein subunit beta 4(GNB4)
102090613	AGPAT2	Columba livia	1-acylglycerol-3-phosphate O-acyltransferase 2(AGPAT2)
104037702	ZFAND5	Pelecanus crispus	zinc finger AN1-type containing 5(ZFAND5)
102098892	AKAP9	Columba livia	A-kinase anchoring protein 9(AKAP9)
102091791	ZAR1L	Columba livia	zygote arrest 1-like(ZAR1L)
102086306	AGPAT4	Columba livia	1-acylglycerol-3-phosphate O-acyltransferase 4(AGPAT4)
102092826	GTF2A1	Columba livia	general transcription factor IIA subunit 1(GTF2A1)
102097357	SLC25A3	Columba livia	solute carrier family 25 member 3(SLC25A3)
102086305	GATA2	Columba livia	GATA binding protein 2(GATA2)
102086302	MED21	Columba livia	mediator complex subunit 21(MED21)
102098896	DECR2	Columba livia	2,4-dienoyl-CoA reductase 2, peroxisomal(DECR2)
102086303	PARP1	Columba livia	poly(ADP-ribose) polymerase 1(PARP1)
102098898	TBL1XR1	Columba livia	transducin beta like 1 X-linked receptor 1(TBL1XR1)
102092823	HMGB1	Columba livia	high mobility group box 1(HMGB1)
102089094	DDX55	Columba livia	DEAD-box helicase 55(DDX55)
102090895	ACACA	Columba livia	acetyl-CoA carboxylase alpha(ACACA)
102085705	CHMP1B	Columba livia	charged multivesicular body protein 1B(CHMP1B)
102091394	DUSP16	Columba livia	dual specificity phosphatase 16(DUSP16)
102085703	FADD	Columba livia	Fas associated via death domain(FADD)
102090605	CCT8	Columba livia	chaperonin containing TCP1 subunit 8(CCT8)
102095200	PPP2R3B	Columba livia	protein phosphatase 2 regulatory subunit B''beta(PPP2R3B)
104531501	ZFAND6	Caprimulgus carolinensis	zinc finger AN1-type containing 6(ZFAND6)
102097343	FGFR1OP2	Columba livia	FGFR1 oncogene partner 2(FGFR1OP2)
102097342	DUSP12	Columba livia	dual specificity phosphatase 12(DUSP12)
102089080	HACD2	Columba livia	3-hydroxyacyl-CoA dehydratase 2(HACD2)
102092833	MAP1LC3B	Columba livia	microtubule associated protein 1 light chain 3 beta(MAP1LC3B)
102090884	RPRD1B	Columba livia	regulation of nuclear pre-mRNA domain containing 1B(RPRD1B)
102089084	LPGAT1	Columba livia	lysophosphatidylglycerol acyltransferase 1(LPGAT1)
102087884	ACBD3	Columba livia	acyl-CoA binding domain containing 3(ACBD3)
102087886	LOC102087886	Columba livia	BPI fold-containing family C protein(LOC102087886)
102084602	KPNA6	Columba livia	karyopherin subunit alpha 6(KPNA6)
102090191	STAT3	Columba livia	signal transducer and activator of transcription 3(STAT3)
102083538	IFT88	Columba livia	intraflagellar transport 88(IFT88)
102090198	CTSD	Columba livia	cathepsin D(CTSD)
102091321	PLXDC1	Columba livia	plexin domain containing 1(PLXDC1)
102086369	DNAJB12	Columba livia	DnaJ heat shock protein family (Hsp40) member B12(DNAJB12)
106901014	TWF1	Calidris pugnax	twinfilin actin binding protein 1(TWF1)
102089507	PCGF6	Columba livia	polycomb group ring finger 6(PCGF6)
102089506	SOCS7	Columba livia	suppressor of cytokine signaling 7(SOCS7)
102097334	TMEM11	Columba livia	transmembrane protein 11(TMEM11)
102091318	SYNE2	Columba livia	spectrin repeat containing nuclear envelope protein 2(SYNE2)
102086364	OXSR1	Columba livia	oxidative stress responsive 1(OXSR1)
102091730	YARS2	Columba livia	tyrosyl-tRNA synthetase 2(YARS2)
102086763	FAM210B	Columba livia	family with sequence similarity 210 member B(FAM210B)
102086766	DRAM1	Columba livia	DNA damage regulated autophagy modulator 1(DRAM1)
102086768	TESK2	Columba livia	testis-specific kinase 2(TESK2)
102094147	KCTD10	Columba livia	potassium channel tetramerization domain containing 10(KCTD10)
102087892	ar	Columba livia	androgen receptor(AR)
102094144	TIAL1	Columba livia	TIA1 cytotoxic granule associated RNA binding protein like 1(TIAL1)
102092861	CDH2	Columba livia	cadherin 2(CDH2)
102086356	HSPA8	Columba livia	heat shock protein family A (Hsp70) member 8(HSPA8)
102097329	ABHD15	Columba livia	abhydrolase domain containing 15(ABHD15)
102092854	SUN2	Columba livia	Sad1 and UNC84 domain containing 2(SUN2)
102086359	TTC3	Columba livia	tetratricopeptide repeat domain 3(TTC3)
102086736	ZDHHC3	Columba livia	zinc finger DHHC-type containing 3(ZDHHC3)
105401598	ARL3	Aquila chrysaetos canadensis	ADP ribosylation factor like GTPase 3(ARL3)
102087869	MSANTD4	Columba livia	Myb/SANT DNA binding domain containing 4 with coiled-coils(MSANTD4)
102086732	FAM160B1	Columba livia	family with sequence similarity 160 member B1(FAM160B1)
102086730	TMEM263	Columba livia	transmembrane protein 263(TMEM263)
102094112	SKP1	Columba livia	S-phase kinase associated protein 1(SKP1)
102092067	BDH1	Columba livia	3-hydroxybutyrate dehydrogenase, type 1(BDH1)
102092864	NEO1	Columba livia	neogenin 1(NEO1)
102084619	CLIC4	Columba livia	chloride intracellular channel 4(CLIC4)
102091738	THBS1	Columba livia	thrombospondin 1(THBS1)
102092050	LOC102092050	Columba livia	ubiquitin-conjugating enzyme E2 R2(LOC102092050)
102086740	BLOC1S5	Columba livia	biogenesis of lysosomal organelles complex 1 subunit 5(BLOC1S5)
102086742	TM6SF1	Columba livia	transmembrane 6 superfamily member 1(TM6SF1)
102083569	RECK	Columba livia	reversion inducing cysteine rich protein with kazal motifs(RECK)
103904063	NELFA	Aptenodytes forsteri	negative elongation factor complex member A(NELFA)
102094125	CEP85L	Columba livia	centrosomal protein 85 like(CEP85L)
102097302	MTMR10	Columba livia	myotubularin related protein 10(MTMR10)
102086338	CABIN1	Columba livia	calcineurin binding protein 1(CABIN1)
102092879	ZRANB2	Columba livia	zinc finger RANBP2-type containing 2(ZRANB2)
102097306	SUB1	Columba livia	SUB1 homolog, transcriptional regulator(SUB1)
102091347	LARP7	Columba livia	La ribonucleoprotein domain family member 7(LARP7)
102086330	ALG12	Columba livia	ALG12, alpha-1,6-mannosyltransferase(ALG12)
102086331	TPD52L2	Columba livia	tumor protein D52 like 2(TPD52L2)
102086738	CHAF1B	Columba livia	chromatin assembly factor 1 subunit B(CHAF1B)
102083571	PHF20L1	Columba livia	PHD finger protein 20-like 1(PHF20L1)
102084605	FGFRL1	Columba livia	fibroblast growth factor receptor-like 1(FGFRL1)
102088411	sbno1	Columba livia	strawberry notch homolog 1(SBNO1)
102088410	CCNH	Columba livia	cyclin H(CCNH)
103923001	CDV3	Pygoscelis adeliae	CDV3 homolog(CDV3)
105409793	DNAJC15	Aquila chrysaetos canadensis	DnaJ heat shock protein family (Hsp40) member C15(DNAJC15)
102088418	NAA15	Columba livia	N(alpha)-acetyltransferase 15, NatA auxiliary subunit(NAA15)
105412821	MAPK8	Aquila chrysaetos canadensis	mitogen-activated protein kinase 8(MAPK8)
102093568	COG7	Columba livia	component of oligomeric golgi complex 7(COG7)
102085381	LOC102085381	Columba livia	fatty aldehyde dehydrogenase(LOC102085381)
102086792	FGFR1OP	Columba livia	FGFR1 oncogene partner(FGFR1OP)
102085386	AKAP1	Columba livia	A-kinase anchoring protein 1(AKAP1)
102085385	PANK1	Columba livia	pantothenate kinase 1(PANK1)
