From	To	Species	Gene Name
105404173	PRKCI	Aquila chrysaetos canadensis	protein kinase C iota(PRKCI)
102090883	TMEM64	Columba livia	transmembrane protein 64(TMEM64)
102090880	USP24	Columba livia	ubiquitin specific peptidase 24(USP24)
102086714	HNRNPAB	Columba livia	heterogeneous nuclear ribonucleoprotein A/B(HNRNPAB)
102085306	RNF141	Columba livia	ring finger protein 141(RNF141)
102086711	TPST1	Columba livia	tyrosylprotein sulfotransferase 1(TPST1)
102092040	LOC102092040	Columba livia	neuron-specific protein family member 1(LOC102092040)
102091769	TMEM135	Columba livia	transmembrane protein 135(TMEM135)
102092807	LOC102092807	Columba livia	actin, cytoplasmic type 5(LOC102092807)
102086704	PARVA	Columba livia	parvin alpha(PARVA)
102095237	LSM14A	Columba livia	LSM14A, mRNA processing body assembly factor(LSM14A)
102095234	LOC102095234	Columba livia	putative N-acetylated-alpha-linked acidic dipeptidase(LOC102095234)
102098873	LEPROT	Columba livia	leptin receptor overlapping transcript(LEPROT)
102083588	PKD2	Columba livia	polycystin 2, transient receptor potential cation channel(PKD2)
102098876	ZNF217	Columba livia	zinc finger protein 217(ZNF217)
102086328	CACNA1B	Columba livia	calcium voltage-gated channel subunit alpha1 B(CACNA1B)
105404184	FNDC3B	Aquila chrysaetos canadensis	fibronectin type III domain containing 3B(FNDC3B)
102098384	BICC1	Columba livia	BicC family RNA binding protein 1(BICC1)
102098381	URI1	Columba livia	URI1, prefoldin like chaperone(URI1)
103924134	RBFOX2	Pygoscelis adeliae	RNA binding protein, fox-1 homolog 2(RBFOX2)
102091377	RNF166	Columba livia	ring finger protein 166(RNF166)
102098386	JAK1	Columba livia	Janus kinase 1(JAK1)
102091378	MEX3D	Columba livia	mex-3 RNA binding family member D(MEX3D)
102086720	RNF216	Columba livia	ring finger protein 216(RNF216)
102085315	ZC3H13	Columba livia	zinc finger CCCH-type containing 13(ZC3H13)
102086724	SIN3B	Columba livia	SIN3 transcription regulator family member B(SIN3B)
102086715	CLTB	Columba livia	clathrin light chain B(CLTB)
102097365	PUSL1	Columba livia	pseudouridylate synthase-like 1(PUSL1)
102085309	VAPB	Columba livia	VAMP associated protein B and C(VAPB)
102083591	TGFBR2	Columba livia	transforming growth factor beta receptor 2(TGFBR2)
102097361	ROCK1	Columba livia	Rho associated coiled-coil containing protein kinase 1(ROCK1)
102095221	ZCCHC17	Columba livia	zinc finger CCHC-type containing 17(ZCCHC17)
102095224	SLC16A4	Columba livia	solute carrier family 16 member 4(SLC16A4)
102095223	SLC25A17	Columba livia	solute carrier family 25 member 17(SLC25A17)
102092811	SCD5	Columba livia	stearoyl-CoA desaturase 5(SCD5)
102086311	THUMPD3	Columba livia	THUMP domain containing 3(THUMPD3)
102098887	KIF20A	Columba livia	kinesin family member 20A(KIF20A)
