From	To	Species	Gene Name
102086319	HHLA1	Columba livia	HERV-H LTR-associating 1(HHLA1)
102090880	USP24	Columba livia	ubiquitin specific peptidase 24(USP24)
102091769	TMEM135	Columba livia	transmembrane protein 135(TMEM135)
102095237	LSM14A	Columba livia	LSM14A, mRNA processing body assembly factor(LSM14A)
102095234	LOC102095234	Columba livia	putative N-acetylated-alpha-linked acidic dipeptidase(LOC102095234)
102086321	ALS2	Columba livia	ALS2, alsin Rho guanine nucleotide exchange factor(ALS2)
104828412	MRPL3	Haliaeetus leucocephalus	mitochondrial ribosomal protein L3(MRPL3)
102098871	ZCCHC8	Columba livia	zinc finger CCHC-type containing 8(ZCCHC8)
102084196	MDM1	Columba livia	Mdm1 nuclear protein(MDM1)
102098873	LEPROT	Columba livia	leptin receptor overlapping transcript(LEPROT)
102086328	CACNA1B	Columba livia	calcium voltage-gated channel subunit alpha1 B(CACNA1B)
102083586	BCL7A	Columba livia	BCL tumor suppressor 7A(BCL7A)
102097379	SOX6	Columba livia	SRY-box 6(SOX6)
102091757	OTOL1	Columba livia	otolin 1(OTOL1)
102097365	PUSL1	Columba livia	pseudouridylate synthase-like 1(PUSL1)
102083591	TGFBR2	Columba livia	transforming growth factor beta receptor 2(TGFBR2)
102097361	ROCK1	Columba livia	Rho associated coiled-coil containing protein kinase 1(ROCK1)
102098882	SEC23A	Columba livia	Sec23 homolog A, coat complex II component(SEC23A)
102095221	ZCCHC17	Columba livia	zinc finger CCHC-type containing 17(ZCCHC17)
102095224	SLC16A4	Columba livia	solute carrier family 16 member 4(SLC16A4)
102095223	SLC25A17	Columba livia	solute carrier family 25 member 17(SLC25A17)
102086311	THUMPD3	Columba livia	THUMP domain containing 3(THUMPD3)
102098887	KIF20A	Columba livia	kinesin family member 20A(KIF20A)
102098884	RPN2	Columba livia	ribophorin II(RPN2)
102090865	HSPA13	Columba livia	heat shock protein family A (Hsp70) member 13(HSPA13)
104023050	RDX	Nipponia nippon	radixin(RDX)
102083597	RSF1	Columba livia	remodeling and spacing factor 1(RSF1)
104037702	ZFAND5	Pelecanus crispus	zinc finger AN1-type containing 5(ZFAND5)
102098892	AKAP9	Columba livia	A-kinase anchoring protein 9(AKAP9)
102098890	LOC102098890	Columba livia	ubiquitin carboxyl-terminal hydrolase CYLD(LOC102098890)
102086306	AGPAT4	Columba livia	1-acylglycerol-3-phosphate O-acyltransferase 4(AGPAT4)
102097356	ice2	Columba livia	interactor of little elongation complex ELL subunit 2(ICE2)
102085701	EPS8	Columba livia	epidermal growth factor receptor pathway substrate 8(EPS8)
102086305	GATA2	Columba livia	GATA binding protein 2(GATA2)
102097357	SLC25A3	Columba livia	solute carrier family 25 member 3(SLC25A3)
102086302	MED21	Columba livia	mediator complex subunit 21(MED21)
102098895	CHERP	Columba livia	calcium homeostasis endoplasmic reticulum protein(CHERP)
102086303	PARP1	Columba livia	poly(ADP-ribose) polymerase 1(PARP1)
102098896	DECR2	Columba livia	2,4-dienoyl-CoA reductase 2, peroxisomal(DECR2)
102098897	AGTR1	Columba livia	angiotensin II receptor type 1(AGTR1)
102098898	TBL1XR1	Columba livia	transducin beta like 1 X-linked receptor 1(TBL1XR1)
102090895	ACACA	Columba livia	acetyl-CoA carboxylase alpha(ACACA)
102090894	AUTS2	Columba livia	autism susceptibility candidate 2(AUTS2)
102085705	CHMP1B	Columba livia	charged multivesicular body protein 1B(CHMP1B)
102095200	PPP2R3B	Columba livia	protein phosphatase 2 regulatory subunit B''beta(PPP2R3B)
102091782	TMEM132D	Columba livia	transmembrane protein 132D(TMEM132D)
102091785	LRRC7	Columba livia	leucine rich repeat containing 7(LRRC7)
104531501	ZFAND6	Caprimulgus carolinensis	zinc finger AN1-type containing 6(ZFAND6)
102097343	FGFR1OP2	Columba livia	FGFR1 oncogene partner 2(FGFR1OP2)
102095203	SEC14L1	Columba livia	SEC14 like lipid binding 1(SEC14L1)
102097342	DUSP12	Columba livia	dual specificity phosphatase 12(DUSP12)
102095205	FSTL4	Columba livia	follistatin like 4(FSTL4)
102090884	RPRD1B	Columba livia	regulation of nuclear pre-mRNA domain containing 1B(RPRD1B)
102090886	TMEM35A	Columba livia	transmembrane protein 35A(TMEM35A)
102090198	CTSD	Columba livia	cathepsin D(CTSD)
102090199	ACSL1	Columba livia	acyl-CoA synthetase long-chain family member 1(ACSL1)
102083546	MBTPS2	Columba livia	membrane bound transcription factor peptidase, site 2(MBTPS2)
102086369	DNAJB12	Columba livia	DnaJ heat shock protein family (Hsp40) member B12(DNAJB12)
106901014	TWF1	Calidris pugnax	twinfilin actin binding protein 1(TWF1)
102089507	PCGF6	Columba livia	polycomb group ring finger 6(PCGF6)
102089506	SOCS7	Columba livia	suppressor of cytokine signaling 7(SOCS7)
102083542	RABL3	Columba livia	RAB, member of RAS oncogene family like 3(RABL3)
105399060	CCNY	Aquila chrysaetos canadensis	cyclin Y(CCNY)
102086364	OXSR1	Columba livia	oxidative stress responsive 1(OXSR1)
102091710	ZFC3H1	Columba livia	zinc finger C3H1-type containing(ZFC3H1)
102091714	ALDH18A1	Columba livia	aldehyde dehydrogenase 18 family member A1(ALDH18A1)
102091715	PITX2	Columba livia	paired like homeodomain 2(PITX2)
102089509	SECISBP2	Columba livia	SECIS binding protein 2(SECISBP2)
102083555	MID1	Columba livia	midline 1(MID1)
102086356	HSPA8	Columba livia	heat shock protein family A (Hsp70) member 8(HSPA8)
102097329	ABHD15	Columba livia	abhydrolase domain containing 15(ABHD15)
102086358	GHRHR	Columba livia	growth hormone releasing hormone receptor(GHRHR)
102097327	AASDHPPT	Columba livia	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase(AASDHPPT)
