From	To	Species	Gene Name
105404173	PRKCI	Aquila chrysaetos canadensis	protein kinase C iota(PRKCI)
102086319	HHLA1	Columba livia	HERV-H LTR-associating 1(HHLA1)
102090880	USP24	Columba livia	ubiquitin specific peptidase 24(USP24)
102086714	HNRNPAB	Columba livia	heterogeneous nuclear ribonucleoprotein A/B(HNRNPAB)
102085306	RNF141	Columba livia	ring finger protein 141(RNF141)
102086711	TPST1	Columba livia	tyrosylprotein sulfotransferase 1(TPST1)
102092040	LOC102092040	Columba livia	neuron-specific protein family member 1(LOC102092040)
102091769	TMEM135	Columba livia	transmembrane protein 135(TMEM135)
102092807	LOC102092807	Columba livia	actin, cytoplasmic type 5(LOC102092807)
102086704	PARVA	Columba livia	parvin alpha(PARVA)
102095237	LSM14A	Columba livia	LSM14A, mRNA processing body assembly factor(LSM14A)
102095234	LOC102095234	Columba livia	putative N-acetylated-alpha-linked acidic dipeptidase(LOC102095234)
104828412	MRPL3	Haliaeetus leucocephalus	mitochondrial ribosomal protein L3(MRPL3)
102098873	LEPROT	Columba livia	leptin receptor overlapping transcript(LEPROT)
102083588	PKD2	Columba livia	polycystin 2, transient receptor potential cation channel(PKD2)
102086328	CACNA1B	Columba livia	calcium voltage-gated channel subunit alpha1 B(CACNA1B)
102086326	CIR1	Columba livia	corepressor interacting with RBPJ, 1(CIR1)
102098384	BICC1	Columba livia	BicC family RNA binding protein 1(BICC1)
102091373	ALDH1A1	Columba livia	aldehyde dehydrogenase 1 family member A1(ALDH1A1)
102098381	URI1	Columba livia	URI1, prefoldin like chaperone(URI1)
103924134	RBFOX2	Pygoscelis adeliae	RNA binding protein, fox-1 homolog 2(RBFOX2)
102098387	COPB1	Columba livia	coatomer protein complex subunit beta 1(COPB1)
102098386	JAK1	Columba livia	Janus kinase 1(JAK1)
102091378	MEX3D	Columba livia	mex-3 RNA binding family member D(MEX3D)
102085310	TBK1	Columba livia	TANK binding kinase 1(TBK1)
102086725	U2SURP	Columba livia	U2 snRNP associated SURP domain containing(U2SURP)
102085315	ZC3H13	Columba livia	zinc finger CCCH-type containing 13(ZC3H13)
102086724	SIN3B	Columba livia	SIN3 transcription regulator family member B(SIN3B)
102085314	RRP1B	Columba livia	ribosomal RNA processing 1B(RRP1B)
102086715	CLTB	Columba livia	clathrin light chain B(CLTB)
102085309	VAPB	Columba livia	VAMP associated protein B and C(VAPB)
102083591	TGFBR2	Columba livia	transforming growth factor beta receptor 2(TGFBR2)
102097361	ROCK1	Columba livia	Rho associated coiled-coil containing protein kinase 1(ROCK1)
102098882	SEC23A	Columba livia	Sec23 homolog A, coat complex II component(SEC23A)
102095221	ZCCHC17	Columba livia	zinc finger CCHC-type containing 17(ZCCHC17)
102095224	SLC16A4	Columba livia	solute carrier family 16 member 4(SLC16A4)
102095223	SLC25A17	Columba livia	solute carrier family 25 member 17(SLC25A17)
102092811	SCD5	Columba livia	stearoyl-CoA desaturase 5(SCD5)
102086311	THUMPD3	Columba livia	THUMP domain containing 3(THUMPD3)
102091368	MANBAL	Columba livia	mannosidase beta like(MANBAL)
102098887	KIF20A	Columba livia	kinesin family member 20A(KIF20A)
102083597	RSF1	Columba livia	remodeling and spacing factor 1(RSF1)
104023050	RDX	Nipponia nippon	radixin(RDX)
105404199	GNB4	Aquila chrysaetos canadensis	G protein subunit beta 4(GNB4)
102092021	INIP	Columba livia	INTS3 and NABP interacting protein(INIP)
102091385	NT5DC1	Columba livia	5'-nucleotidase domain containing 1(NT5DC1)
102098351	LOC102098351	Columba livia	chromosome unknown open reading frame, human C9orf3(LOC102098351)
102098892	AKAP9	Columba livia	A-kinase anchoring protein 9(AKAP9)
102092829	TIGAR	Columba livia	TP53 induced glycolysis regulatory phosphatase(TIGAR)
102097356	ice2	Columba livia	interactor of little elongation complex ELL subunit 2(ICE2)
102086306	AGPAT4	Columba livia	1-acylglycerol-3-phosphate O-acyltransferase 4(AGPAT4)
102092826	GTF2A1	Columba livia	general transcription factor IIA subunit 1(GTF2A1)
102097357	SLC25A3	Columba livia	solute carrier family 25 member 3(SLC25A3)
102086305	GATA2	Columba livia	GATA binding protein 2(GATA2)
102086302	MED21	Columba livia	mediator complex subunit 21(MED21)
102098895	CHERP	Columba livia	calcium homeostasis endoplasmic reticulum protein(CHERP)
102086303	PARP1	Columba livia	poly(ADP-ribose) polymerase 1(PARP1)
102098896	DECR2	Columba livia	2,4-dienoyl-CoA reductase 2, peroxisomal(DECR2)
102091379	LHFPL2	Columba livia	lipoma HMGIC fusion partner-like 2(LHFPL2)
102092823	HMGB1	Columba livia	high mobility group box 1(HMGB1)
102089094	DDX55	Columba livia	DEAD-box helicase 55(DDX55)
102098898	TBL1XR1	Columba livia	transducin beta like 1 X-linked receptor 1(TBL1XR1)
102090895	ACACA	Columba livia	acetyl-CoA carboxylase alpha(ACACA)
102092841	USP13	Columba livia	ubiquitin specific peptidase 13 (isopeptidase T-3)(USP13)
102098364	SYCP1	Columba livia	synaptonemal complex protein 1(SYCP1)
102090894	AUTS2	Columba livia	autism susceptibility candidate 2(AUTS2)
102085705	CHMP1B	Columba livia	charged multivesicular body protein 1B(CHMP1B)
102090605	CCT8	Columba livia	chaperonin containing TCP1 subunit 8(CCT8)
102091775	DHFR	Columba livia	dihydrofolate reductase(DHFR)
102095200	PPP2R3B	Columba livia	protein phosphatase 2 regulatory subunit B''beta(PPP2R3B)
102097343	FGFR1OP2	Columba livia	FGFR1 oncogene partner 2(FGFR1OP2)
104531501	ZFAND6	Caprimulgus carolinensis	zinc finger AN1-type containing 6(ZFAND6)
102097342	DUSP12	Columba livia	dual specificity phosphatase 12(DUSP12)
102095205	FSTL4	Columba livia	follistatin like 4(FSTL4)
102092838	PIK3R1	Columba livia	phosphoinositide-3-kinase regulatory subunit 1(PIK3R1)
102089080	HACD2	Columba livia	3-hydroxyacyl-CoA dehydratase 2(HACD2)
102092833	MAP1LC3B	Columba livia	microtubule associated protein 1 light chain 3 beta(MAP1LC3B)
102090884	RPRD1B	Columba livia	regulation of nuclear pre-mRNA domain containing 1B(RPRD1B)
102089084	LPGAT1	Columba livia	lysophosphatidylglycerol acyltransferase 1(LPGAT1)
102092085	SCN3A	Columba livia	sodium voltage-gated channel alpha subunit 3(SCN3A)
102090198	CTSD	Columba livia	cathepsin D(CTSD)
102090199	ACSL1	Columba livia	acyl-CoA synthetase long-chain family member 1(ACSL1)
102083546	MBTPS2	Columba livia	membrane bound transcription factor peptidase, site 2(MBTPS2)
102086369	DNAJB12	Columba livia	DnaJ heat shock protein family (Hsp40) member B12(DNAJB12)
106901014	TWF1	Calidris pugnax	twinfilin actin binding protein 1(TWF1)
102089507	PCGF6	Columba livia	polycomb group ring finger 6(PCGF6)
102089506	SOCS7	Columba livia	suppressor of cytokine signaling 7(SOCS7)
102091314	TTC37	Columba livia	tetratricopeptide repeat domain 37(TTC37)
105399060	CCNY	Aquila chrysaetos canadensis	cyclin Y(CCNY)
102086364	OXSR1	Columba livia	oxidative stress responsive 1(OXSR1)
102091710	ZFC3H1	Columba livia	zinc finger C3H1-type containing(ZFC3H1)
102086763	FAM210B	Columba livia	family with sequence similarity 210 member B(FAM210B)
102086764	TBC1D30	Columba livia	TBC1 domain family member 30(TBC1D30)
102086768	TESK2	Columba livia	testis-specific kinase 2(TESK2)
102091715	PITX2	Columba livia	paired like homeodomain 2(PITX2)
102094147	KCTD10	Columba livia	potassium channel tetramerization domain containing 10(KCTD10)
102092076	DAGLB	Columba livia	diacylglycerol lipase beta(DAGLB)
102089509	SECISBP2	Columba livia	SECIS binding protein 2(SECISBP2)
102092863	YPEL2	Columba livia	yippee like 2(YPEL2)
102092079	RRH	Columba livia	retinal pigment epithelium-derived rhodopsin homolog(RRH)
102087892	ar	Columba livia	androgen receptor(AR)
102094144	TIAL1	Columba livia	TIA1 cytotoxic granule associated RNA binding protein like 1(TIAL1)
102097319	NRG1	Columba livia	neuregulin 1(NRG1)
102092861	CDH2	Columba livia	cadherin 2(CDH2)
102086356	HSPA8	Columba livia	heat shock protein family A (Hsp70) member 8(HSPA8)
102086358	GHRHR	Columba livia	growth hormone releasing hormone receptor(GHRHR)
102092854	SUN2	Columba livia	Sad1 and UNC84 domain containing 2(SUN2)
102097327	AASDHPPT	Columba livia	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase(AASDHPPT)
102086359	TTC3	Columba livia	tetratricopeptide repeat domain 3(TTC3)
102086351	PWP1	Columba livia	PWP1 homolog, endonuclein(PWP1)
102086736	ZDHHC3	Columba livia	zinc finger DHHC-type containing 3(ZDHHC3)
105401598	ARL3	Aquila chrysaetos canadensis	ADP ribosylation factor like GTPase 3(ARL3)
102087869	MSANTD4	Columba livia	Myb/SANT DNA binding domain containing 4 with coiled-coils(MSANTD4)
102086732	FAM160B1	Columba livia	family with sequence similarity 160 member B1(FAM160B1)
102087865	SETD7	Columba livia	SET domain containing lysine methyltransferase 7(SETD7)
102091743	CCNI	Columba livia	cyclin I(CCNI)
102086730	TMEM263	Columba livia	transmembrane protein 263(TMEM263)
102094112	SKP1	Columba livia	S-phase kinase associated protein 1(SKP1)
102092066	RCC1L	Columba livia	RCC1 like(RCC1L)
102092067	BDH1	Columba livia	3-hydroxybutyrate dehydrogenase, type 1(BDH1)
102094107	LOC102094107	Columba livia	transmembrane protein 178B(LOC102094107)
102092864	NEO1	Columba livia	neogenin 1(NEO1)
102086342	ZDHHC1	Columba livia	zinc finger DHHC-type containing 1(ZDHHC1)
102084619	CLIC4	Columba livia	chloride intracellular channel 4(CLIC4)
102091738	THBS1	Columba livia	thrombospondin 1(THBS1)
102092050	LOC102092050	Columba livia	ubiquitin-conjugating enzyme E2 R2(LOC102092050)
102086740	BLOC1S5	Columba livia	biogenesis of lysosomal organelles complex 1 subunit 5(BLOC1S5)
102086741	abl1	Columba livia	ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)
102086742	TM6SF1	Columba livia	transmembrane 6 superfamily member 1(TM6SF1)
102083569	RECK	Columba livia	reversion inducing cysteine rich protein with kazal motifs(RECK)
102087871	ARL13B	Columba livia	ADP ribosylation factor like GTPase 13B(ARL13B)
102092058	MEF2D	Columba livia	myocyte enhancer factor 2D(MEF2D)
103904063	NELFA	Aptenodytes forsteri	negative elongation factor complex member A(NELFA)
102092881	CHMP4C	Columba livia	charged multivesicular body protein 4C(CHMP4C)
102094126	SCRN2	Columba livia	secernin 2(SCRN2)
102097302	MTMR10	Columba livia	myotubularin related protein 10(MTMR10)
102094119	ARSK	Columba livia	arylsulfatase family member K(ARSK)
